meter_ref_no,cnic,consumer_name,installation_address,city,province,date,connection_type,sanctioned_load_kw,avg_monthly_bill_pkr,billing_month,billing_year,provider_disco
K-83030876,42101-1001410-0,Zainab Ahmed,"House 818, Street 19, Gulshan-e-Iqbal, Karachi",Karachi,Sindh,2019-02-24,Residential,15,47333,4,2019,K-Electric
IESCO-18741355,61101-1000614-8,Rabia Noor,"House 793, Street 8, G-11, Islamabad",Islamabad,Islamabad,2017-07-01,Residential,15,63133,1,2017,IESCO
PESCO-97228052,45501-1001776-2,M. Malik,"House 946, Street 35, Hayatabad, Peshawar",Peshawar,KPK,2020-06-18,Residential,50,47475,8,2020,PESCO
FESCO-63418428,35202-1001649-3,Bilal Ahmed Sahib,"House 382, Street 32, Canal Road, Faisalabad",Faisalabad,Punjab,2021-09-08,Residential,10,61603,12,2021,FESCO
GEPCO-97931527,45501-1000241-7,Naveed Raza,"House 542, Street 34, Civil Lines, Gujranwala",Gujranwala,Punjab,2017-01-08,Residential,5,33794,9,2017,GEPCO
PESCO-67461024,61101-1000286-2,Hamza Sheikh,"House 782, Street 12, Warsak Road, Peshawar",Peshawar,KPK,2016-02-09,Residential,5,50405,2,2016,PESCO
IESCO-91938023,17301-1001944-8,Rabia Noor,"House 428, Street 33, Bahria Town, Rawalpindi",Rawalpindi,Punjab,2022-10-31,Residential,5,42191,6,2022,IESCO
IESCO-21480945,17301-1001944-8,Rabia Noor,"House 428, Street 33, Bahria Town, Rawalpindi",Rawalpindi,Punjab,2025-08-31,Residential,3,65350,2,2025,IESCO
IESCO-38012542,54400-1000712-4,U. Farooq,"House 379, Street 11, F-10, Islamabad",Islamabad,Islamabad,2025-10-30,Residential,25,68949,12,2025,IESCO
IESCO-27033945,54400-1000712-4,Umer Farooq,"House 379, Street 11, F-10, Islamabad",Islamabad,Islamabad,2026-01-13,Residential,10,64522,12,2026,IESCO
HESCO-14986392,33100-1001243-1,K. Javed,"House 836, Street 14, Hussainabad, Hyderabad",Hyderabad,Sindh,2024-09-30,Residential,10,48991,11,2024,HESCO
MEPCO-52077838,61101-1001608-6,S. Butt,"House 507, Street 18, Gulgasht, Multan",Multan,Punjab,2017-11-08,Residential,10,26886,5,2017,MEPCO
K-31151404,35202-1000330-0,Danish Butt Sahib,"House 435, Street 27, Nazimabad, Karachi",Karachi,Sindh,2017-09-07,Commercial,25,345493,7,2017,K-Electric
MEPCO-64646763,33100-1001487-9,Maham Tariq Sahib,"House 894, Street 34, Gulgasht, Multan",Multan,Punjab,2016-03-03,Residential,7,5691,9,2016,MEPCO
K-89934975,17301-1001433-1,S. Butt,"House 178, Street 13, Nazimabad, Karachi",Karachi,Sindh,2021-05-05,Residential,50,53809,6,2021,K-Electric
IESCO-96774589,17301-1000179-3,B. Ahmed,"House 927, Street 8, Saddar, Rawalpindi",Rawalpindi,Punjab,2025-11-16,Residential,10,11837,8,2025,IESCO
QESCO-45662966,45501-1001623-1,H. Shah,"House 993, Street 25, Brewery Road, Quetta",Quetta,Balochistan,2017-01-31,Commercial,7,315606,2,2017,QESCO
K-52671863,45501-1000905-5,Huma Ghani,"House 128, Street 4, Gulshan-e-Iqbal, Karachi",Karachi,Sindh,2026-07-23,Residential,5,4884,3,2026,K-Electric
SEPCO-69162244,35202-1001025-5,Z. Ahmed,"House 932, Street 10, Rohri, Sukkur",Sukkur,Sindh,2019-04-25,Residential,5,62338,10,2019,SEPCO
SEPCO-22290154,35202-1001025-5,Chaudhry Zainab Ahmed,"House 932, Street 10, Rohri, Sukkur",Sukkur,Sindh,2019-08-10,Residential,50,29585,7,2019,SEPCO
GEPCO-48199644,45501-1000976-2,Chaudhry Naveed Raza,"House 251, Street 35, Satellite Town, Gujranwala",Gujranwala,Punjab,2016-11-18,Residential,3,4969,7,2016,GEPCO
MEPCO-95202319,17301-1001229-3,B. Ahmed,"House 17, Street 7, Shah Rukn-e-Alam, Multan",Multan,Punjab,2021-06-27,Residential,25,70015,12,2021,MEPCO
MEPCO-54057930,45501-1001396-2,Naveed Raza,"House 70, Street 3, Shah Rukn-e-Alam, Multan",Multan,Punjab,2018-06-20,Residential,25,54386,11,2018,MEPCO
IESCO-94671737,17301-1001899-3,Sana Iqbal,"House 23, Street 11, DHA Phase 2, Islamabad",Islamabad,Islamabad,2024-07-14,Residential,7,23369,4,2024,IESCO
SEPCO-33878800,54400-1001504-8,Amna Chaudhry,"House 919, Street 1, Queens Road, Sukkur",Sukkur,Sindh,2026-12-28,Residential,5,18357,6,2026,SEPCO
SEPCO-40387732,35202-1001350-0,I. Siddiqui,"House 731, Street 14, Military Road, Sukkur",Sukkur,Sindh,2020-12-28,Residential,7,35065,7,2020,SEPCO
K-31517184,61101-1001595-5,Imran Siddiqui,"House 465, Street 16, Nazimabad, Karachi",Karachi,Sindh,2020-12-16,Residential,3,43539,6,2020,K-Electric
K-34513795,61101-1001595-5,Imran Siddiqui,"House 465, Street 16, Nazimabad, Karachi",Karachi,Sindh,2020-06-05,Residential,25,17370,11,2020,K-Electric
GEPCO-58427862,54400-1000360-0,Chaudhry Zainab Ahmed,"House 942, Street 18, Wapda Town, Gujranwala",Gujranwala,Punjab,2024-10-27,Residential,25,32964,6,2024,GEPCO
MEPCO-87883755,17301-1001198-6,F. Ali,"House 145, Street 32, DHA Multan, Multan",Multan,Punjab,2018-10-02,Residential,15,42160,10,2018,MEPCO
FESCO-67357801,54400-1000884-8,Sana Iqbal,"House 954, Street 24, Madina Town, Faisalabad",Faisalabad,Punjab,2022-05-27,Residential,5,27363,2,2022,FESCO
FESCO-50090018,54400-1000884-8,Sana Iqbal,"House 954, Street 24, Madina Town, Faisalabad",Faisalabad,Punjab,2020-03-13,Residential,5,47169,9,2020,FESCO
MEPCO-42907475,17301-1001352-4,Chaudhry Muneeb Akhtar,"House 506, Street 20, Bosan Road, Multan",Multan,Punjab,2026-11-03,Residential,25,56213,12,2026,MEPCO
HESCO-82254521,61101-1000154-8,Nimra Aslam,"House 43, Street 14, Auto Bhan, Hyderabad",Hyderabad,Sindh,2023-08-17,Residential,50,52352,12,2023,HESCO
SEPCO-46480573,61101-1001945-5,Chaudhry Imran Siddiqui,"House 511, Street 9, Rohri, Sukkur",Sukkur,Sindh,2018-03-21,Residential,15,36719,12,2018,SEPCO
QESCO-11160957,33100-1000187-9,Umer Farooq,"House 319, Street 8, Satellite Town, Quetta",Quetta,Balochistan,2016-10-07,Residential,25,20736,6,2016,QESCO
IESCO-53916705,54400-1000091-7,Chaudhry Taha Hussain,"House 343, Street 29, F-10, Islamabad",Islamabad,Islamabad,2025-06-07,Residential,3,16172,6,2025,IESCO
QESCO-65963562,33100-1001614-8,Bilal Ahmed Sahib,"House 640, Street 22, Brewery Road, Quetta",Quetta,Balochistan,2026-01-06,Residential,50,15642,4,2026,QESCO
QESCO-21834569,54400-1000157-9,Maham Tariq Sahib,"House 236, Street 20, Samungli Road, Quetta",Quetta,Balochistan,2025-01-05,Residential,5,65413,5,2025,QESCO
QESCO-91498884,54400-1000157-9,Chaudhry Maham Tariq,"House 236, Street 20, Samungli Road, Quetta",Quetta,Balochistan,2016-01-28,Commercial,50,248982,6,2016,QESCO
IESCO-47513328,42101-1001645-5,W. Akram,"House 659, Street 10, Bahria Enclave, Islamabad",Islamabad,Islamabad,2022-12-05,Residential,15,37524,4,2022,IESCO
K-56175480,45501-1001617-9,Ayesha Khan,"House 822, Street 13, DHA Phase 6, Karachi",Karachi,Sindh,2026-10-23,Residential,7,6386,2,2026,K-Electric
SEPCO-58428355,35202-1000669-3,Bilal Ahmed,"House 154, Street 8, Military Road, Sukkur",Sukkur,Sindh,2019-08-02,Residential,25,23557,7,2019,SEPCO
IESCO-64733736,33100-1001175-5,Imran Siddiqui,"House 914, Street 6, Bahria Town, Rawalpindi",Rawalpindi,Punjab,2017-10-21,Residential,50,63193,9,2017,IESCO
MEPCO-65089743,54400-1000130-0,S. Ahmed,"House 656, Street 27, Cantt, Multan",Multan,Punjab,2016-08-17,Residential,25,63925,6,2016,MEPCO
IESCO-40320046,33100-1001532-4,Chaudhry Ahmed Baig,"House 710, Street 5, Chaklala, Rawalpindi",Rawalpindi,Punjab,2021-11-23,Residential,5,37504,12,2021,IESCO
K-61647301,17301-1001524-8,Chaudhry Rabia Noor,"House 764, Street 6, Bahadurabad, Karachi",Karachi,Sindh,2020-10-31,Commercial,7,184842,1,2020,K-Electric
MEPCO-15010504,42101-1001588-6,Hira Shah,"House 158, Street 18, Bosan Road, Multan",Multan,Punjab,2018-06-04,Residential,15,447971,6,2018,MEPCO
GEPCO-71780319,17301-1001908-6,Kashif Javed,"House 999, Street 12, Civil Lines, Gujranwala",Gujranwala,Punjab,2021-08-02,Residential,25,27369,7,2021,GEPCO
LESCO-43936466,61101-1000942-4,Khalid Malik,"House 81, Street 6, Gulberg, Lahore",Lahore,Punjab,2020-04-27,Residential,5,25169,8,2020,LESCO
IESCO-67838463,33100-1000543-1,K. Javed,"House 63, Street 22, DHA Phase 2, Islamabad",Islamabad,Islamabad,2020-11-11,Residential,10,18698,12,2020,IESCO
HESCO-43691035,45501-1001450-0,Danish Butt,"House 194, Street 29, Saddar, Hyderabad",Hyderabad,Sindh,2022-05-02,Residential,25,42408,4,2022,HESCO
SEPCO-17677088,45501-1000837-9,K. Malik,"House 28, Street 34, Rohri, Sukkur",Sukkur,Sindh,2025-07-04,Residential,3,45123,11,2025,SEPCO
SEPCO-91225663,45501-1000837-9,Khalid Malik Sahib,"House 28, Street 34, Rohri, Sukkur",Sukkur,Sindh,2019-12-03,Residential,10,59362,10,2019,SEPCO
FESCO-95792580,35202-1000751-7,Fahad Mirza Sahib,"House 481, Street 22, People Colony, Faisalabad",Faisalabad,Punjab,2017-03-01,Commercial,7,150471,4,2017,FESCO
PESCO-69674421,42101-1001663-1,Kashif Javed,"House 413, Street 1, Saddar, Peshawar",Peshawar,KPK,2026-05-21,Commercial,7,205246,10,2026,PESCO
IESCO-20069020,45501-1000649-3,Rabia Noor,"House 954, Street 23, F-10, Islamabad",Islamabad,Islamabad,2016-02-15,Residential,50,62959,12,2016,IESCO
LESCO-14287288,61101-1001545-5,Usman Malik,"House 858, Street 24, Bahria Town, Lahore",Lahore,Punjab,2016-11-01,Residential,5,4151,11,2016,LESCO
IESCO-92366523,33100-1000041-7,Hamza Sheikh,"House 523, Street 9, PWD, Rawalpindi",Rawalpindi,Punjab,2023-02-11,Residential,25,24474,1,2023,IESCO
GEPCO-15922556,35202-1001331-7,M. Ahmed,"House 839, Street 27, Model Town, Gujranwala",Gujranwala,Punjab,2022-01-14,Residential,3,13537,3,2022,GEPCO
IESCO-88586195,54400-1001018-6,Hassan Khan,"House 951, Street 5, Chaklala, Rawalpindi",Rawalpindi,Punjab,2019-09-17,Residential,3,5259,3,2019,IESCO
QESCO-80857734,33100-1000744-8,Chaudhry Sana Iqbal,"House 100, Street 9, Cantt, Quetta",Quetta,Balochistan,2019-02-15,Residential,15,48870,6,2019,QESCO
MEPCO-94776209,54400-1000668-6,Hassan Khan Sahib,"House 696, Street 3, Bosan Road, Multan",Multan,Punjab,2018-10-15,Residential,15,59503,9,2018,MEPCO
SEPCO-76627556,35202-1001862-4,Ayesha Khan Sahib,"House 80, Street 24, Rohri, Sukkur",Sukkur,Sindh,2026-08-18,Residential,7,63000,3,2026,SEPCO
SEPCO-48313265,35202-1001862-4,Chaudhry Ayesha Khan,"House 80, Street 24, Rohri, Sukkur",Sukkur,Sindh,2018-02-09,Commercial,5,333017,10,2018,SEPCO
LESCO-98856403,42101-1000686-2,Chaudhry Taha Hussain,"House 773, Street 5, DHA Phase 5, Lahore",Lahore,Punjab,2022-06-27,Industrial,7,661922,10,2022,LESCO
IESCO-82474260,45501-1000222-4,Umer Farooq,"House 243, Street 11, PWD, Rawalpindi",Rawalpindi,Punjab,2026-02-10,Residential,10,25297,9,2026,IESCO
IESCO-41354307,45501-1000222-4,Umer Farooq Sahib,"House 243, Street 11, PWD, Rawalpindi",Rawalpindi,Punjab,2024-11-15,Residential,5,11016,7,2024,IESCO
GEPCO-86532679,42101-1001070-0,I. Siddiqui,"House 904, Street 31, Civil Lines, Gujranwala",Gujranwala,Punjab,2019-11-20,Residential,25,28062,10,2019,GEPCO
K-78573995,35202-1000640-0,Chaudhry Zainab Ahmed,"House 855, Street 20, DHA Phase 6, Karachi",Karachi,Sindh,2019-04-21,Residential,15,28555,10,2019,K-Electric
K-29866300,61101-1001809-3,Laiba Khan,"House 836, Street 31, Gulshan-e-Iqbal, Karachi",Karachi,Sindh,2018-05-26,Residential,7,20293,6,2018,K-Electric
IESCO-29154832,35202-1000003-1,Hassan Khan,"House 355, Street 22, G-11, Islamabad",Islamabad,Islamabad,2016-04-03,Residential,7,50966,6,2016,IESCO
MEPCO-19192194,45501-1001359-3,Nida Hussain,"House 12, Street 16, Gulgasht, Multan",Multan,Punjab,2019-11-24,Residential,25,8031,2,2019,MEPCO
MEPCO-44443602,17301-1001102-4,Maham Tariq,"House 850, Street 25, DHA Multan, Multan",Multan,Punjab,2021-11-04,Residential,3,63803,4,2021,MEPCO
MEPCO-23941871,17301-1001102-4,Maham Tariq,"House 850, Street 25, DHA Multan, Multan",Multan,Punjab,2016-07-08,Industrial,10,448201,2,2016,MEPCO
FESCO-77206726,42101-1000918-6,Fatima Ali,"House 496, Street 24, Gulberg, Faisalabad",Faisalabad,Punjab,2016-06-05,Residential,50,74626,9,2016,FESCO
K-63752182,33100-1000428-6,Fatima Ali,"House 494, Street 17, Bahadurabad, Karachi",Karachi,Sindh,2026-10-07,Residential,5,52684,2,2026,K-Electric
IESCO-72182659,42101-1000290-0,Z. Ahmed,"House 949, Street 28, F-10, Islamabad",Islamabad,Islamabad,2024-01-11,Commercial,15,70003,3,2024,IESCO
GEPCO-18288140,33100-1000753-1,Kashif Javed,"House 139, Street 30, Peoples Colony, Gujranwala",Gujranwala,Punjab,2020-10-20,Residential,10,71712,2,2020,GEPCO
MEPCO-89377771,61101-1001022-4,A. Khan,"House 387, Street 15, DHA Multan, Multan",Multan,Punjab,2017-05-28,Residential,10,59846,10,2017,MEPCO
GEPCO-60393264,45501-1000343-1,K. Qureshi,"House 643, Street 5, Model Town, Gujranwala",Gujranwala,Punjab,2019-08-07,Commercial,25,83434,4,2019,GEPCO
QESCO-67397554,35202-1001523-1,K. Javed,"House 925, Street 24, Jinnah Town, Quetta",Quetta,Balochistan,2017-05-12,Industrial,15,761043,8,2017,QESCO
SEPCO-86870147,61101-1001183-1,Kamran Qureshi,"House 520, Street 13, Military Road, Sukkur",Sukkur,Sindh,2026-12-25,Residential,7,49856,9,2026,SEPCO
QESCO-37058792,45501-1000202-4,Chaudhry Ahmed Baig,"House 319, Street 6, Cantt, Quetta",Quetta,Balochistan,2022-01-25,Residential,15,57685,3,2022,QESCO
SEPCO-48994332,42101-1000392-4,Chaudhry Ayesha Khan,"House 351, Street 25, Military Road, Sukkur",Sukkur,Sindh,2026-09-20,Residential,10,130691,11,2026,SEPCO
K-14151196,35202-1000364-8,Nimra Aslam,"House 898, Street 29, DHA Phase 6, Karachi",Karachi,Sindh,2017-04-26,Commercial,10,294564,2,2017,K-Electric
IESCO-90577686,17301-1000363-1,H. Shah,"House 276, Street 24, Bahria Town, Rawalpindi",Rawalpindi,Punjab,2018-12-25,Residential,15,22130,5,2018,IESCO
SEPCO-34227084,54400-1001201-7,Saad Qureshi,"House 104, Street 24, Rohri, Sukkur",Sukkur,Sindh,2023-12-13,Residential,5,11558,5,2023,SEPCO
IESCO-35303186,54400-1000756-2,Taha Hussain,"House 762, Street 24, Bahria Town, Rawalpindi",Rawalpindi,Punjab,2017-04-12,Residential,5,4877,7,2017,IESCO
MEPCO-78815510,33100-1001021-7,Hamza Sheikh,"House 682, Street 9, Shah Rukn-e-Alam, Multan",Multan,Punjab,2017-07-31,Residential,50,25174,6,2017,MEPCO
K-95840941,45501-1000436-2,Chaudhry Fahad Mirza,"House 590, Street 22, DHA Phase 6, Karachi",Karachi,Sindh,2021-01-31,Residential,10,64796,6,2021,K-Electric
QESCO-55167769,54400-1001906-2,Fahad Mirza Sahib,"House 345, Street 13, Samungli Road, Quetta",Quetta,Balochistan,2022-10-17,Residential,15,15767,9,2022,QESCO
HESCO-22238523,61101-1000369-3,R. Noor,"House 899, Street 25, Latifabad, Hyderabad",Hyderabad,Sindh,2025-11-10,Residential,15,13635,9,2025,HESCO
HESCO-10511621,61101-1000369-3,R. Noor,"House 899, Street 25, Latifabad, Hyderabad",Hyderabad,Sindh,2021-12-30,Residential,10,56207,10,2021,HESCO
FESCO-21849767,35202-1001411-7,Saad Qureshi,"House 740, Street 10, Madina Town, Faisalabad",Faisalabad,Punjab,2021-06-17,Commercial,50,64827,7,2021,FESCO
GEPCO-41832273,45501-1000575-5,Danish Butt,"House 103, Street 13, Peoples Colony, Gujranwala",Gujranwala,Punjab,2026-01-13,Residential,25,40132,2,2026,GEPCO
LESCO-21035331,54400-1000076-2,H. Sheikh,"House 690, Street 21, DHA Phase 5, Lahore",Lahore,Punjab,2025-07-23,Residential,15,50376,12,2025,LESCO
K-84595027,42101-1000355-5,Chaudhry Usman Malik,"House 626, Street 34, Clifton, Karachi",Karachi,Sindh,2021-03-02,Residential,5,70509,11,2021,K-Electric
K-19024739,42101-1000243-1,Shazia Butt,"House 811, Street 4, DHA Phase 6, Karachi",Karachi,Sindh,2026-07-29,Residential,7,38821,9,2026,K-Electric
HESCO-80380301,42101-1000602-4,Ayesha Khan,"House 512, Street 32, Qasimabad, Hyderabad",Hyderabad,Sindh,2021-01-01,Residential,7,47668,12,2021,HESCO
LESCO-57975225,45501-1001845-5,Sara Ahmed Sahib,"House 255, Street 26, Gulberg, Lahore",Lahore,Punjab,2017-04-29,Residential,50,73907,8,2017,LESCO
PESCO-96019105,61101-1000326-2,Chaudhry Saad Qureshi,"House 523, Street 13, Gulbahar, Peshawar",Peshawar,KPK,2025-12-31,Commercial,7,99375,2,2025,PESCO
QESCO-52843460,54400-1000621-7,Mariam Malik,"House 321, Street 34, Cantt, Quetta",Quetta,Balochistan,2020-02-14,Residential,25,8985,1,2020,QESCO
QESCO-19630675,42101-1000160-0,Chaudhry Imran Siddiqui,"House 938, Street 21, Satellite Town, Quetta",Quetta,Balochistan,2026-11-01,Residential,5,46155,2,2026,QESCO
GEPCO-57456329,35202-1000264-8,Rabia Noor,"House 534, Street 20, Peoples Colony, Gujranwala",Gujranwala,Punjab,2025-06-03,Commercial,10,116919,12,2025,GEPCO
GEPCO-79376918,45501-1000913-1,Hassan Khan,"House 953, Street 34, Model Town, Gujranwala",Gujranwala,Punjab,2023-05-14,Residential,7,23530,5,2023,GEPCO
GEPCO-96918223,45501-1000913-1,Hassan Khan Sahib,"House 953, Street 34, Model Town, Gujranwala",Gujranwala,Punjab,2017-01-16,Residential,25,47850,6,2017,GEPCO
HESCO-15489329,61101-1000114-8,S. Iqbal,"House 728, Street 2, Latifabad, Hyderabad",Hyderabad,Sindh,2018-01-06,Residential,10,73807,3,2018,HESCO
MEPCO-45778865,35202-1001106-2,Taha Hussain,"House 148, Street 23, Cantt, Multan",Multan,Punjab,2019-01-27,Residential,5,68400,12,2019,MEPCO
SEPCO-41529324,33100-1000842-4,A. Raza,"House 713, Street 3, New Pind, Sukkur",Sukkur,Sindh,2026-09-05,Residential,3,59743,4,2026,SEPCO
PESCO-40233001,33100-1001694-8,Nimra Aslam,"House 717, Street 20, Gulbahar, Peshawar",Peshawar,KPK,2026-09-06,Residential,25,45891,7,2026,PESCO
SEPCO-78143592,42101-1000871-7,N. Raza,"House 790, Street 24, Barrage Road, Sukkur",Sukkur,Sindh,2024-08-17,Commercial,7,61893,7,2024,SEPCO
