cnic,vehicle_reg_no,owner_name,engine_capacity_cc,vehicle_make_model,registration_year,owner_address
53450-9681099-5,REG-7672,Rodney Woods,1800,KIA Sportage,2014,"House 116, Bahria Town, Lahore"
21018-5455429-5,REG-8267,J. Paul,1800,Honda City,2014,"House 928, Bahria Town, Islamabad"
26981-8084249-5,REG-1446,Chaudhry John Goodman,1000,Honda Civic,2025,"Kothi 153, Johar Town, Rawalpindi"
52866-2500926-5,REG-5676,Chaudhry Heidi Brown,660,Suzuki Alto,2018,"House 819, Bahria Town, Rawalpindi"
19491-5511786-1,REG-7018,M. Fowler,1000,BMW X5,2019,"House 821, Model Town, Lahore"
89715-4731386-2,REG-1177,Joshua Gonzalez,660,BMW X5,2015,"Flat 884, DHA, Rawalpindi"
11513-6690022-9,REG-2788,Melissa Mccoy,2700,Suzuki Cultus,2017,"Kothi 949, Model Town, Karachi"
15663-9840167-4,REG-6691,T. Richardson,2700,Honda City,2024,"House 993, Bahria Town, Islamabad"
16603-4039125-4,REG-2365,Chaudhry Zachary Rich,660,KIA Sportage,2011,"Flat 644, Model Town, Karachi"
48005-8477384-9,REG-7266,Amy Brown,3400,Honda Civic,2013,"Plot 278, Model Town, Lahore"
42826-1619907-1,REG-7033,J. Burgess,660,Suzuki Alto,2020,"House 751, Johar Town, Karachi"
77401-8965161-4,REG-4952,Karen Wilson,2700,Honda Civic,2019,"Kothi 109, Gulberg, Rawalpindi"
81553-7594889-9,REG-5016,Chaudhry Sherri Anderson,1800,Toyota Yaris,2012,"Flat 705, Bahria Town, Karachi"
54918-4332365-3,REG-7973,Chaudhry Jeffrey Carroll,1000,Suzuki Cultus,2012,"Kothi 356, DHA, Karachi"
11868-2186531-5,REG-1795,Stephen A. Stewart,1300,Toyota Corolla,2010,"Kothi 168, DHA, Lahore"
97192-7390135-9,REG-7272,Mr. Justin Silva,1300,Suzuki Alto,2013,"Flat 614, Bahria Town, Islamabad"
15929-8708341-3,REG-5296,David Jensen,1300,Toyota Land Cruiser,2017,"Plot 276, Gulberg, Lahore"
44503-7109278-6,REG-6414,Russell A. Haynes,1300,Suzuki Alto,2014,"Flat 251, DHA, Islamabad"
38556-6982485-3,REG-9816,Mr. Brandon Johnson,1300,Suzuki Cultus,2022,"House 344, Gulberg, Lahore"
72212-5679649-9,REG-7304,Mr. Kevin Robertson,660,Toyota Yaris,2016,"Plot 255, Johar Town, Lahore"
21908-5432015-2,REG-1037,Donna Diaz,1300,Suzuki Alto,2018,"Plot 410, Johar Town, Lahore"
61639-1377389-5,REG-4244,Angela A. Miller,660,Suzuki Alto,2022,"Flat 645, Bahria Town, Lahore"
86753-9878327-3,REG-3091,Steven A. Woodward,3400,Honda Civic,2011,"Kothi 783, Model Town, Rawalpindi"
29590-5767691-3,REG-5005,D. Cunningham,1300,Toyota Land Cruiser,2019,"House 845, Johar Town, Rawalpindi"
76262-3337193-9,REG-5968,Marie A. Griffin,1000,Honda City,2016,"House 847, Johar Town, Karachi"
21153-1522786-1,REG-6226,Mr. Brittney Henderson,660,Suzuki Alto,2021,"Plot 653, Model Town, Lahore"
59364-8573003-9,REG-2493,B. Wilson,2700,Toyota Yaris,2012,"House 643, DHA, Karachi"
74132-5425710-1,REG-8482,Paul A. Pope,1800,Toyota Prado,2011,"Kothi 817, DHA, Lahore"
96415-9824650-2,REG-6457,H. Austin,2700,Honda City,2015,"Kothi 259, DHA, Islamabad"
40773-4442978-4,REG-6671,Mr. Natasha Gardner,660,Toyota Yaris,2019,"Kothi 506, Gulberg, Lahore"
72784-5820415-1,REG-8940,Scott Soto,660,Toyota Land Cruiser,2022,"Plot 80, Johar Town, Karachi"
53486-5260410-5,REG-4542,Chaudhry Diane Ross,1000,Toyota Yaris,2011,"Plot 13, Gulberg, Lahore"
73674-5509258-2,REG-9136,Benjamin Arias,1000,Honda City,2012,"Plot 692, Gulberg, Islamabad"
77703-5790625-8,REG-6488,B. Yoder,3400,Toyota Corolla,2019,"Kothi 478, DHA, Karachi"
50851-2440395-8,REG-1198,Kevin A. Randall,1800,Suzuki Cultus,2023,"House 297, Gulberg, Lahore"
76403-8540535-5,REG-5638,J. Forbes,3400,Suzuki Alto,2020,"Kothi 215, Bahria Town, Lahore"
86214-2515034-3,REG-7323,Larry A. Jimenez,660,Toyota Corolla,2022,"Flat 976, Model Town, Karachi"
89084-9535313-5,REG-4510,Mr. David Clark,1800,Toyota Corolla,2024,"House 721, Model Town, Karachi"
75259-9156086-7,REG-7586,T. Thomas,1800,KIA Sportage,2012,"House 163, DHA, Rawalpindi"
99337-8562502-7,REG-7639,Chaudhry Thomas Ingram,1300,Suzuki Cultus,2019,"Flat 745, Bahria Town, Rawalpindi"
55083-7310014-6,REG-5178,Michelle A. Gardner,1800,Suzuki Alto,2015,"House 861, Model Town, Lahore"
52539-6675272-7,REG-4386,Mr. Joshua Smith,1800,Honda City,2016,"House 963, Bahria Town, Lahore"
47988-5248196-6,REG-3114,Chaudhry Donald Combs,1800,Suzuki Cultus,2012,"House 403, Gulberg, Lahore"
57278-8181533-5,REG-7636,Mr. Kathy Adams,1800,KIA Sportage,2015,"House 288, DHA, Lahore"
96766-5791961-3,REG-3237,Mr. Claudia Barker MD,1800,Suzuki Cultus,2017,"Plot 995, Model Town, Rawalpindi"
76972-6294912-4,REG-4542,Chaudhry Elizabeth Williams,2700,Honda City,2021,"Flat 804, Gulberg, Lahore"
92692-7711585-9,REG-6634,Gregory A. Medina,2700,Suzuki Cultus,2021,"Plot 737, DHA, Lahore"
63855-8564182-3,REG-7957,J. Lopez,1000,Honda City,2025,"Flat 498, DHA, Karachi"
32382-8921934-7,REG-5574,M. Lane,3400,Honda City,2020,"Flat 289, Model Town, Islamabad"
95566-5364912-7,REG-4651,C. Stephens,1000,Honda Civic,2025,"Plot 309, Gulberg, Rawalpindi"
25694-3807372-3,REG-5131,Alexis Rodriguez,2700,Suzuki Alto,2022,"House 213, Johar Town, Rawalpindi"
82140-4691411-8,REG-7080,Daniel A. Nelson,1800,Suzuki Alto,2013,"Flat 778, Gulberg, Rawalpindi"
28297-4228055-4,REG-5039,Timothy Anderson,1300,Suzuki Alto,2010,"House 179, Model Town, Lahore"
51849-5011878-6,REG-4576,Dylan Ramirez,3400,KIA Sportage,2010,"Flat 829, Johar Town, Karachi"
12632-7925327-7,REG-6598,Mr. Alice Harris,1000,Honda City,2014,"Kothi 764, Johar Town, Karachi"
59396-5533872-6,REG-2925,Rachel A. Jones,1000,KIA Sportage,2014,"House 511, Model Town, Islamabad"
26498-9445579-9,REG-4791,C. Marquez,1800,Honda Civic,2015,"Plot 95, Model Town, Karachi"
60405-7706811-8,REG-1784,Brian Hood,3400,Toyota Corolla,2010,"Kothi 977, Model Town, Lahore"
26678-1540956-7,REG-4720,Chaudhry Catherine Cameron,660,Toyota Yaris,2015,"Kothi 992, Johar Town, Rawalpindi"
10023-2227050-7,REG-8860,Dr. A. PhD,1300,Honda Civic,2024,"Kothi 996, Gulberg, Karachi"
24292-4754747-3,REG-7860,Chaudhry Katrina Mahoney,2700,Suzuki Alto,2025,"Plot 535, DHA, Rawalpindi"
21141-1663476-1,REG-1249,Juan Rosario,2700,Toyota Prado,2022,"Plot 239, Johar Town, Lahore"
94607-6096620-3,REG-1500,Michelle Heath,1800,Honda Civic,2021,"Flat 541, Gulberg, Lahore"
23034-2180309-5,REG-7281,Emily A. Gibson,1800,Honda Civic,2010,"Plot 398, Model Town, Karachi"
88782-1019327-1,REG-6498,Chaudhry Steven Singh,2700,Honda City,2017,"Flat 472, Model Town, Islamabad"
94485-5066085-8,REG-8970,Elizabeth A. George,2700,Toyota Yaris,2025,"Plot 561, Bahria Town, Lahore"
63976-6157279-1,REG-5086,Chaudhry Laura Thomas,1000,BMW X5,2020,"House 199, Gulberg, Rawalpindi"
20628-5316041-4,REG-8387,Danielle A. Sherman,1000,Toyota Yaris,2012,"Kothi 948, Model Town, Karachi"
74611-1572059-6,REG-6323,Mr. Kimberly Kim,660,Toyota Yaris,2015,"Kothi 372, Gulberg, Karachi"
10885-5900812-9,REG-5393,Chaudhry Jose Knight,2700,Suzuki Cultus,2025,"House 211, Gulberg, Karachi"
50857-4253660-4,REG-5987,Jillian A. Jones,2700,Honda Civic,2022,"Kothi 227, Model Town, Islamabad"
24287-9317551-3,REG-2908,Jeffrey Clark,1000,Toyota Corolla,2016,"Plot 497, Gulberg, Lahore"
87961-3455900-7,REG-9819,W. Phillips,660,Toyota Yaris,2013,"House 219, DHA, Karachi"
64445-1869739-1,REG-8903,Nicole Lewis,1000,Toyota Yaris,2018,"Plot 403, Gulberg, Islamabad"
24838-2331459-3,REG-9249,Kathryn Wagner,2700,Suzuki Alto,2024,"Flat 196, Bahria Town, Rawalpindi"
14180-6231591-7,REG-4079,Chaudhry Rachel Scott,660,KIA Sportage,2017,"Flat 340, Gulberg, Karachi"
24281-1048162-2,REG-5978,Mr. Charles Carter,1800,Toyota Yaris,2018,"Flat 83, Model Town, Rawalpindi"
26214-4479635-7,REG-7436,C. Oneill,1000,Honda City,2017,"Flat 788, Model Town, Rawalpindi"
21502-1826400-8,REG-6574,Chaudhry Caitlin Mccoy,1000,Suzuki Cultus,2018,"Plot 382, Johar Town, Rawalpindi"
35300-6424228-6,REG-6007,M. Williams,1300,Honda Civic,2014,"Kothi 32, Gulberg, Karachi"
91973-7790957-1,REG-8452,Jerry A. Dixon,2700,Honda Civic,2023,"Kothi 36, Gulberg, Lahore"
18126-5312012-4,REG-9236,Chaudhry Jacob Johnson MD,3400,Toyota Yaris,2013,"House 921, Johar Town, Islamabad"
57575-5568681-6,REG-6627,Chaudhry Joshua Mitchell,1800,KIA Sportage,2015,"House 269, Model Town, Islamabad"
48981-1063277-2,REG-7849,Mr. Joshua Lawson,2700,Suzuki Cultus,2023,"House 846, Bahria Town, Lahore"
72283-8813886-7,REG-9795,M. Jensen,2700,Toyota Prado,2015,"Flat 936, Gulberg, Rawalpindi"
27394-9330569-3,REG-4123,Patricia Williams,1000,Toyota Yaris,2011,"House 822, Model Town, Karachi"
89594-4961813-6,REG-7592,Anthony A. Johnson,1300,Suzuki Cultus,2020,"Flat 472, Model Town, Lahore"
77093-4310342-7,REG-4583,P. Phillips,3400,Toyota Corolla,2012,"Plot 254, Gulberg, Lahore"
95137-1568138-8,REG-1417,Chaudhry Michael Chapman,1300,Suzuki Alto,2018,"Flat 165, Gulberg, Lahore"
19458-5444138-2,REG-6137,Mr. Kelly Davis,2700,Suzuki Cultus,2013,"Plot 99, Gulberg, Rawalpindi"
68584-3905677-4,REG-5228,Gina A. Peters,1300,Audi A6,2016,"Plot 427, Gulberg, Karachi"
80590-3032806-5,REG-2908,H. Green,1000,Suzuki Cultus,2025,"Flat 287, Johar Town, Islamabad"
58886-5262360-5,REG-3718,M. Harris,1000,Suzuki Alto,2020,"Plot 450, Bahria Town, Karachi"
42157-4951101-3,REG-6029,Mr. Andrea George,660,Toyota Prado,2021,"Flat 906, Johar Town, Karachi"
52773-2087232-7,REG-6287,Mr. Amanda Ramirez,1300,Honda City,2010,"Flat 252, Johar Town, Karachi"
95149-2686822-8,REG-9277,Chaudhry Ryan Fuller,3400,Honda Civic,2013,"House 105, DHA, Rawalpindi"
40292-8521178-6,REG-1089,Mr. Ashley Taylor,1000,Honda City,2016,"House 898, Model Town, Karachi"
25625-1845423-4,REG-3337,Cassandra A. Griffith,2700,Suzuki Cultus,2016,"Plot 953, DHA, Islamabad"
77196-3982301-8,REG-8757,N. Daniels,1800,Honda City,2022,"Flat 794, DHA, Lahore"
93552-6866986-4,REG-7175,Chaudhry Michelle Lambert,3400,BMW X5,2010,"House 378, Model Town, Karachi"
15788-4422156-5,REG-2432,K. Reid,660,Honda City,2021,"House 614, Bahria Town, Lahore"
52893-7861795-6,REG-7991,Tara Davis,1800,Honda Civic,2019,"Plot 636, Model Town, Lahore"
36661-1527921-8,REG-2833,Alicia Jones,3400,Honda City,2023,"Kothi 65, Gulberg, Lahore"
61812-3592955-9,REG-6703,Chaudhry Denise Stafford,1800,Toyota Yaris,2022,"House 669, Bahria Town, Rawalpindi"
45542-7875117-5,REG-1420,Nancy Allen,3400,Honda Civic,2016,"Flat 428, DHA, Islamabad"
84254-6992514-7,REG-6715,M. Walker,3400,KIA Sportage,2023,"Kothi 19, Model Town, Karachi"
61213-7794326-4,REG-6303,Kristen Wilson,660,Honda City,2015,"House 445, Bahria Town, Rawalpindi"
24881-2518137-7,REG-9902,M. Arias,1800,Suzuki Alto,2014,"Flat 472, Bahria Town, Karachi"
11944-1867304-9,REG-6587,Frederick A. Lopez,3400,Honda City,2014,"Plot 657, Gulberg, Lahore"
85086-7221723-9,REG-6625,Samuel Anderson,1000,BMW X5,2018,"Plot 150, Model Town, Islamabad"
31209-9743595-3,REG-1608,Alicia A. Diaz,2700,Suzuki Alto,2021,"House 112, Gulberg, Rawalpindi"
35865-6060264-3,REG-7098,Mr. Robert Fritz,1300,Toyota Yaris,2015,"House 999, Gulberg, Islamabad"
16995-7507801-2,REG-8725,K. White,1300,Honda City,2025,"Plot 656, Bahria Town, Rawalpindi"
90573-4290229-8,REG-4340,Jordan Wiley,2700,Toyota Yaris,2023,"Plot 579, Bahria Town, Lahore"
62395-9688794-3,REG-3137,Chaudhry Steven Perry,1300,Suzuki Alto,2022,"Kothi 368, DHA, Karachi"
42382-4231219-1,REG-1387,M. Hernandez,660,Honda City,2024,"House 684, Model Town, Lahore"
61096-8645939-9,REG-9782,Chaudhry Traci Frost,2700,Honda City,2025,"Flat 665, Gulberg, Islamabad"
86365-5181869-7,REG-9727,Chaudhry Abigail Mckenzie MD,2700,Honda City,2016,"Kothi 675, Model Town, Rawalpindi"
76005-8354336-3,REG-4905,Chaudhry Gabriella Foster,1300,Suzuki Alto,2023,"House 4, Johar Town, Rawalpindi"
70984-4946855-8,REG-1982,Rachel Wilkinson,3400,Toyota Land Cruiser,2023,"Kothi 857, Bahria Town, Rawalpindi"
62473-2796438-2,REG-6521,Mr. Robert Henry,2700,Honda Civic,2015,"Plot 368, Gulberg, Islamabad"
22021-8414978-9,REG-6034,John A. Austin,3400,Honda City,2017,"House 42, Bahria Town, Lahore"
51120-9581239-2,REG-5882,Mr. Jason Jackson,1300,Toyota Yaris,2020,"House 771, Johar Town, Rawalpindi"
95556-3284817-1,REG-1606,Mr. David Smith,660,Suzuki Cultus,2011,"House 629, DHA, Karachi"
27251-9252208-5,REG-4578,E. Cox,1300,Suzuki Cultus,2022,"Plot 703, Bahria Town, Lahore"
55992-5231562-3,REG-6526,Daniel A. Cox,3400,Toyota Corolla,2020,"Flat 919, Johar Town, Islamabad"
69821-3408743-5,REG-4335,Chaudhry Elizabeth Barajas,660,Suzuki Cultus,2025,"Kothi 214, Johar Town, Islamabad"
90722-9489388-4,REG-6043,Christopher Williams,1800,Honda City,2021,"Flat 382, DHA, Karachi"
33867-7769027-3,REG-3891,James A. Powell,1000,Toyota Yaris,2015,"Flat 696, Model Town, Rawalpindi"
32117-5434903-2,REG-3880,Mr. Peter Ruiz,1800,Honda Civic,2022,"House 652, Model Town, Rawalpindi"
82768-9748521-2,REG-6240,Chaudhry Kristen Davis,3400,Suzuki Alto,2012,"Flat 549, Gulberg, Islamabad"
44701-7303867-6,REG-3850,Mike Valenzuela,1800,Honda City,2024,"Plot 369, Model Town, Lahore"
67970-4859553-3,REG-9454,Chaudhry Katie Hayes,660,Suzuki Cultus,2018,"House 304, Johar Town, Islamabad"
50641-6245376-1,REG-2865,Christopher Frost,3400,KIA Sportage,2023,"House 227, Bahria Town, Islamabad"
90747-8251664-7,REG-7829,D. Morgan,2700,Honda City,2023,"Flat 918, DHA, Karachi"
74014-4812784-1,REG-7495,Z. Curtis,660,Honda Civic,2014,"House 56, DHA, Islamabad"
49811-2784469-9,REG-9469,T. Smith,1000,Honda City,2010,"Flat 547, Bahria Town, Rawalpindi"
86492-6052542-3,REG-6140,J. Dalton,2700,Honda City,2014,"Plot 376, Johar Town, Rawalpindi"
30791-3260708-1,REG-9556,Chaudhry Amber Carter DDS,1000,Suzuki Alto,2022,"Plot 725, Bahria Town, Rawalpindi"
22557-2068182-3,REG-7713,Katherine Estrada,1300,Suzuki Cultus,2019,"Flat 412, Model Town, Lahore"
17357-6877607-8,REG-4807,Chaudhry Angelica Melton,1300,Suzuki Cultus,2013,"Kothi 255, Bahria Town, Lahore"
15767-2032277-9,REG-1517,G. Martin,1800,Suzuki Cultus,2012,"House 416, Bahria Town, Karachi"
30868-1979440-2,REG-3395,Mr. Antonio Medina,1800,Honda Civic,2018,"House 628, Johar Town, Karachi"
28647-7931981-4,REG-3220,James A. Miller,1000,Toyota Yaris,2024,"Kothi 833, Johar Town, Karachi"
76660-6190576-2,REG-3104,John Tate,3400,Suzuki Alto,2023,"Flat 641, DHA, Rawalpindi"
80569-1106525-7,REG-4790,Jamie A. Hale,3400,Suzuki Alto,2012,"Kothi 764, Gulberg, Lahore"
95921-8591476-3,REG-8061,Chaudhry Dr. Erika Travis,1300,KIA Sportage,2024,"Plot 108, Model Town, Karachi"
94412-1651250-2,REG-9228,Chaudhry Matthew Walker,3400,Suzuki Cultus,2013,"Flat 913, Model Town, Lahore"
44863-8315750-9,REG-2513,Michele Mclaughlin,3400,Honda City,2015,"Flat 303, Bahria Town, Lahore"
76509-1255478-3,REG-7970,Mr. Danielle Jackson,660,Honda City,2022,"Flat 927, Bahria Town, Karachi"
30864-6483992-4,REG-5384,Chaudhry James Mercer,1000,Honda City,2018,"Kothi 337, Johar Town, Karachi"
59735-9998559-8,REG-2902,Mr. Dana Peters,1800,Toyota Corolla,2023,"Kothi 860, Johar Town, Lahore"
13475-8335233-4,REG-3799,Chaudhry Charles Rodriguez,3400,Suzuki Alto,2010,"Flat 809, Bahria Town, Rawalpindi"
91608-2305306-3,REG-4136,Chaudhry Amanda Moss,3400,Toyota Yaris,2017,"Plot 34, DHA, Lahore"
23982-3714742-6,REG-6909,Chaudhry Justin Riggs,2700,Suzuki Alto,2014,"Plot 718, DHA, Lahore"
15459-3322003-1,REG-5310,Aaron Avery,3400,Suzuki Cultus,2013,"House 755, DHA, Lahore"
87394-7096942-4,REG-7291,N. Murillo,1800,KIA Sportage,2012,"House 901, Gulberg, Lahore"
42319-4451466-4,REG-7131,Ann Jimenez,1000,Honda City,2013,"House 35, DHA, Lahore"
92776-5821186-8,REG-7014,Chaudhry Phyllis Bailey,660,Suzuki Alto,2021,"House 136, DHA, Karachi"
48595-6354261-6,REG-7385,D. Lewis,1800,Suzuki Cultus,2024,"Kothi 268, DHA, Islamabad"
43646-5741127-1,REG-7738,Vincent A. Mcclain,1300,Honda City,2012,"Flat 933, Model Town, Rawalpindi"
47702-1519780-7,REG-3278,L. Smith,1300,Toyota Yaris,2016,"House 447, Johar Town, Lahore"
55453-8867535-1,REG-9174,James A. Gregory,1000,Suzuki Alto,2024,"Plot 732, DHA, Islamabad"
32330-8315830-1,REG-1488,Mr. Paul Smith,1800,Suzuki Cultus,2020,"Plot 296, DHA, Lahore"
55587-9234643-2,REG-9079,Mr. David Green,2700,Honda City,2025,"Kothi 712, Bahria Town, Rawalpindi"
87667-6824809-9,REG-1466,Mr. Roger Peters,1300,KIA Sportage,2022,"Flat 592, Bahria Town, Islamabad"
38143-4884387-8,REG-5151,W. Vega,2700,Suzuki Cultus,2010,"Plot 113, DHA, Rawalpindi"
83564-2754190-6,REG-9888,Mr. Julia Mason PhD,1300,Honda Civic,2015,"Flat 98, Gulberg, Rawalpindi"
21294-8082166-1,REG-8675,Michael Thomas,3400,Honda Civic,2023,"Flat 212, Model Town, Islamabad"
66106-9408575-3,REG-4180,Beth Burton,1800,Suzuki Alto,2013,"Kothi 906, Bahria Town, Rawalpindi"
26630-9917838-1,REG-9969,S. Hopkins,1300,Honda Civic,2022,"Flat 596, Model Town, Karachi"
69022-6424642-3,REG-2046,Mr. Christina Collins,1300,Toyota Yaris,2023,"Kothi 450, Model Town, Karachi"
26522-6604491-8,REG-7009,Melissa A. Jennings,2700,Suzuki Alto,2011,"Plot 520, Bahria Town, Islamabad"
49519-3593662-3,REG-7692,D. Guerrero,660,Honda City,2016,"Plot 741, Model Town, Islamabad"
31092-4962997-6,REG-7112,Edward Sanchez,3400,Toyota Yaris,2021,"Plot 265, DHA, Karachi"
96232-2705202-4,REG-5287,Megan A. Brown,3400,Honda City,2012,"Kothi 155, Bahria Town, Islamabad"
48981-8296797-5,REG-8549,Emma A. Brady,1800,Toyota Land Cruiser,2024,"Plot 112, DHA, Islamabad"
37059-7515284-8,REG-3702,Karen A. Rodriguez,660,Suzuki Alto,2023,"House 13, Gulberg, Rawalpindi"
39157-9396771-5,REG-2976,Mr. Jasmine Gonzales,2700,Toyota Yaris,2014,"Kothi 23, Bahria Town, Islamabad"
89129-7789963-1,REG-3386,K. Pena,1000,Toyota Land Cruiser,2013,"Plot 930, Gulberg, Rawalpindi"
39958-4835374-3,REG-2689,Chaudhry Karen Manning,1800,Toyota Yaris,2012,"House 465, Gulberg, Islamabad"
