fbr_id,cnic,full_name,reported_address,city,province,date,fiscal_year,declared_income_pkr,tax_paid_pkr,filer_status,declared_assets_pkr,income_source
FBR-2018-644651,33100-1000214-8,Bilal Ahmed,"House 67, Street 2, Cantt, Quetta",Quetta,Balochistan,2018-12-12,2018,919012,2765,Non-Filer,223320,Salary
FBR-2024-107190,17301-1001800-0,D. Butt,"House 997, Street 22, Saddar, Rawalpindi",Rawalpindi,Punjab,2024-11-01,2024,761737,529,Non-Filer,201832,Salary
FBR-2023-262963,61101-1001146-2,M. Malik,"House 426, Street 32, New Pind, Sukkur",Sukkur,Sindh,2023-03-03,2023,4165691,315160,Filer,3537275,Unknown
FBR-2026-333487,61101-1000552-4,Chaudhry Ahmed Baig,"House 272, Street 13, D Ground, Faisalabad",Faisalabad,Punjab,2026-09-30,2026,1068292,4602,Non-Filer,1387855,Business
FBR-2026-354429,33100-1000266-2,T. Hussain,"House 172, Street 1, Cantt, Quetta",Quetta,Balochistan,2026-11-16,2026,1685055,332,Non-Filer,211812,Unknown
FBR-2025-236408,45501-1001868-6,Chaudhry Hira Shah,"House 502, Street 8, Saddar, Rawalpindi",Rawalpindi,Punjab,2025-12-28,2025,9771884,583151,Filer,11167090,Unknown
FBR-2026-245741,17301-1000208-6,Shazia Butt Sahib,"House 560, Street 32, Auto Bhan, Hyderabad",Hyderabad,Sindh,2026-06-11,2026,1685788,90718,Filer,472130,Agriculture
FBR-2019-477841,45501-1001167-9,Chaudhry Umer Farooq,"House 65, Street 11, Hussainabad, Hyderabad",Hyderabad,Sindh,2019-01-25,2019,1166392,2256,Non-Filer,368073,Rental
FBR-2026-139316,61101-1001521-7,Fahad Mirza,"House 154, Street 3, Rohri, Sukkur",Sukkur,Sindh,2026-01-02,2026,12811642,1023993,Filer,6080387,Business
FBR-2026-832357,33100-1000539-3,Nimra Aslam Sahib,"House 887, Street 18, Cantt, Quetta",Quetta,Balochistan,2026-07-08,2026,2424829,134412,Filer,2204067,Salary
FBR-2020-458075,42101-1001584-8,S. Iqbal,"House 788, Street 14, Saddar, Hyderabad",Hyderabad,Sindh,2020-04-09,2020,608247,60475,Filer,576707,Rental
FBR-2016-148686,42101-1000704-8,Bilal Ahmed,"House 190, Street 4, Gulgasht, Multan",Multan,Punjab,2016-12-20,2016,2905964,165101,Late-Filer,1158775,Salary
FBR-2019-503960,54400-1000917-9,Ayesha Khan Sahib,"House 692, Street 11, PWD, Rawalpindi",Rawalpindi,Punjab,2019-11-04,2019,2004170,213393,Filer,1830911,Salary
FBR-2018-852974,17301-1001927-9,Ali Raza Sahib,"House 943, Street 3, Jinnah Town, Quetta",Quetta,Balochistan,2018-07-28,2018,6992763,309661,Filer,3069711,Business
FBR-2026-156893,54400-1000370-0,Chaudhry Imran Siddiqui,"House 647, Street 2, G-11, Islamabad",Islamabad,Islamabad,2026-09-27,2026,20133389,1562903,Filer,2717528,Rental
FBR-2023-650568,45501-1000896-2,Taha Hussain,"House 409, Street 12, E-11, Islamabad",Islamabad,Islamabad,2023-06-22,2023,461692,4184,Filer,931457,Freelance
FBR-2022-210349,33100-1001643-1,Shazia Butt,"House 447, Street 22, Model Town, Gujranwala",Gujranwala,Punjab,2022-08-06,2022,3331952,174405,Filer,1136103,Rental
FBR-2018-793821,45501-1000325-5,Zainab Ahmed,"House 994, Street 16, Jinnah Town, Quetta",Quetta,Balochistan,2018-07-24,2018,2064084,120558,Filer,3052354,Unknown
FBR-2022-755696,35202-1000220-0,Zainab Ahmed Sahib,"House 157, Street 28, Satellite Town, Gujranwala",Gujranwala,Punjab,2022-10-21,2022,6836707,15003,Non-Filer,5664864,Unknown
FBR-2025-446873,42101-1000508-6,Kashif Javed,"House 128, Street 9, Canal Road, Faisalabad",Faisalabad,Punjab,2025-08-08,2025,7903500,973797,Filer,11412728,Agriculture
FBR-2017-218664,45501-1001665-5,I. Siddiqui,"House 237, Street 6, New Pind, Sukkur",Sukkur,Sindh,2017-05-28,2017,1356890,42399,Filer,1555477,Rental
FBR-2025-431420,35202-1001054-8,Bilal Ahmed,"House 388, Street 33, Chaklala, Rawalpindi",Rawalpindi,Punjab,2025-07-14,2025,2420971,153574,Filer,4356421,Salary
FBR-2017-682731,45501-1001165-5,Zainab Ahmed,"House 105, Street 5, Johar Town, Lahore",Lahore,Punjab,2017-04-04,2017,925228,4226,Non-Filer,1007145,Business
FBR-2016-980917,54400-1000228-6,Kashif Javed,"House 707, Street 3, Barrage Road, Sukkur",Sukkur,Sindh,2016-04-01,2016,3374006,9762,Non-Filer,1279131,Salary
FBR-2021-394130,33100-1001065-5,Danish Butt,"House 88, Street 21, Auto Bhan, Hyderabad",Hyderabad,Sindh,2021-04-28,2021,634653,2862,Non-Filer,555521,Freelance
FBR-2017-571722,17301-1000448-6,K. Qureshi,"House 724, Street 8, PWD, Rawalpindi",Rawalpindi,Punjab,2017-01-28,2017,1396655,49739,Filer,1172066,Salary
FBR-2021-577557,17301-1000617-9,Muneeb Akhtar Sahib,"House 334, Street 6, Satellite Town, Gujranwala",Gujranwala,Punjab,2021-05-06,2021,21884440,29355,Non-Filer,30586007,Rental
FBR-2022-305296,61101-1000710-0,Z. Ahmed,"House 194, Street 22, Nazimabad, Karachi",Karachi,Sindh,2022-12-01,2022,812055,3181,Non-Filer,461932,Salary
FBR-2020-528657,61101-1001184-8,Nida Hussain,"House 150, Street 20, Model Town, Lahore",Lahore,Punjab,2020-08-24,2020,915036,62146,Late-Filer,1435586,Freelance
FBR-2022-781606,54400-1001006-2,Mariam Malik,"House 907, Street 1, Barrage Road, Sukkur",Sukkur,Sindh,2022-04-29,2022,1632638,201600,Filer,306609,Agriculture
FBR-2025-742637,54400-1001548-6,F. Ali,"House 991, Street 20, Hayatabad, Peshawar",Peshawar,KPK,2025-09-28,2025,3415457,348773,Filer,954939,Freelance
FBR-2025-494609,54400-1001034-8,Chaudhry Rabia Noor,"House 221, Street 33, Canal Road, Faisalabad",Faisalabad,Punjab,2025-10-31,2025,392771,3487,Filer,675666,Agriculture
FBR-2025-890456,35202-1000119-3,Nimra Aslam,"House 810, Street 20, Model Town, Gujranwala",Gujranwala,Punjab,2025-02-06,2025,1619605,172505,Filer,1808612,Salary
FBR-2018-700718,35202-1000281-7,Muhammad Ahmed,"House 314, Street 32, Nazimabad, Karachi",Karachi,Sindh,2018-05-05,2018,877314,46500,Late-Filer,2225656,Business
FBR-2018-138375,17301-1001633-1,A. Iqbal,"House 766, Street 25, D Ground, Faisalabad",Faisalabad,Punjab,2018-12-28,2018,709326,25855,Filer,825112,Freelance
FBR-2016-615261,45501-1000217-9,Chaudhry Ayesha Khan,"House 327, Street 13, Rohri, Sukkur",Sukkur,Sindh,2016-03-06,2016,1574483,190540,Late-Filer,3505150,Agriculture
FBR-2021-751157,61101-1001608-6,Shazia Butt,"House 507, Street 18, Gulgasht, Multan",Multan,Punjab,2021-05-03,2021,797502,40540,Filer,713970,Agriculture
FBR-2026-412821,42101-1000740-0,Usman Malik,"House 684, Street 27, Cantt, Multan",Multan,Punjab,2026-07-15,2026,1824731,8249,Non-Filer,1981560,Business
FBR-2016-439627,33100-1001196-2,Chaudhry Hamza Sheikh,"House 149, Street 20, Gulberg, Faisalabad",Faisalabad,Punjab,2016-06-23,2016,2316143,182590,Filer,197116,Freelance
FBR-2025-863033,42101-1000734-8,Chaudhry Amna Chaudhry,"House 413, Street 1, Chaklala, Rawalpindi",Rawalpindi,Punjab,2025-03-04,2025,4548670,481431,Filer,353508,Freelance
FBR-2022-766841,54400-1000413-1,Kamran Qureshi Sahib,"House 788, Street 12, Clifton, Karachi",Karachi,Sindh,2022-07-08,2022,444310,1533,Non-Filer,515670,Unknown
FBR-2024-919153,54400-1000597-9,A. Raza,"House 527, Street 13, Bahadurabad, Karachi",Karachi,Sindh,2024-09-03,2024,899641,108847,Filer,434117,Salary
FBR-2020-853701,17301-1001122-4,Ali Raza,"House 457, Street 24, Bahadurabad, Karachi",Karachi,Sindh,2020-11-05,2020,688984,84567,Late-Filer,1988193,Unknown
FBR-2022-146974,54400-1001687-9,A. Khan,"House 904, Street 5, Gulshan-e-Iqbal, Karachi",Karachi,Sindh,2022-05-20,2022,638966,36277,Filer,519274,Rental
FBR-2025-110123,42101-1000783-1,Hira Shah Sahib,"House 184, Street 3, Latifabad, Hyderabad",Hyderabad,Sindh,2025-05-06,2025,29678778,2638403,Filer,26464922,Agriculture
FBR-2019-299079,17301-1000077-9,Ayesha Khan Sahib,"House 194, Street 27, Bahria Town, Rawalpindi",Rawalpindi,Punjab,2019-12-06,2019,14390586,62222,Non-Filer,5533827,Rental
FBR-2020-113667,54400-1001233-1,Fatima Ali,"House 919, Street 16, Gulbahar, Peshawar",Peshawar,KPK,2020-12-06,2020,3517882,342673,Filer,138607,Rental
FBR-2017-124750,33100-1001478-6,Fatima Ali Sahib,"House 128, Street 1, F-10, Islamabad",Islamabad,Islamabad,2017-01-28,2017,14602843,42442,Non-Filer,2838001,Business
FBR-2022-893949,35202-1000471-7,Fahad Mirza,"House 973, Street 10, DHA Multan, Multan",Multan,Punjab,2022-01-27,2022,957713,44539,Filer,194293,Business
FBR-2024-180560,33100-1001342-4,U. Farooq,"House 429, Street 6, Gulberg, Lahore",Lahore,Punjab,2024-01-19,2024,455214,3949,Filer,1197116,Agriculture
FBR-2026-475330,61101-1000368-6,Kashif Javed,"House 915, Street 34, Queens Road, Sukkur",Sukkur,Sindh,2026-01-15,2026,1774737,208092,Late-Filer,251363,Rental
FBR-2023-408298,61101-1000286-2,Chaudhry Hamza Sheikh,"House 782, Street 12, Warsak Road, Peshawar",Peshawar,KPK,2023-10-27,2023,576282,4524,Filer,476220,Business
FBR-2026-828417,33100-1000957-9,U. Farooq,"House 813, Street 14, Gulbahar, Peshawar",Peshawar,KPK,2026-11-09,2026,1438546,5596,Non-Filer,1470837,Unknown
FBR-2021-916490,45501-1001656-2,Saad Qureshi,"House 956, Street 31, Cantt, Multan",Multan,Punjab,2021-02-22,2021,634298,33752,Filer,394534,Salary
FBR-2021-526697,45501-1000613-1,K. Javed,"House 201, Street 29, People Colony, Faisalabad",Faisalabad,Punjab,2021-02-02,2021,5329146,607424,Filer,4396955,Rental
FBR-2023-701498,33100-1000095-5,Sara Ahmed,"House 945, Street 11, Clifton, Karachi",Karachi,Sindh,2023-08-20,2023,2252666,165312,Filer,2587748,Agriculture
FBR-2026-431058,45501-1000764-8,Nida Hussain,"House 938, Street 21, Civil Lines, Gujranwala",Gujranwala,Punjab,2026-05-22,2026,355233,1556,Non-Filer,116395,Agriculture
FBR-2018-758709,61101-1001028-6,Chaudhry Hira Shah,"House 972, Street 2, DHA Phase 2, Islamabad",Islamabad,Islamabad,2018-07-22,2018,26098543,2418290,Filer,59123046,Unknown
FBR-2022-929199,45501-1001417-9,M. Tariq,"House 477, Street 20, Rohri, Sukkur",Sukkur,Sindh,2022-09-10,2022,1884131,127438,Filer,639881,Freelance
FBR-2017-294301,33100-1001316-2,T. Hussain,"House 558, Street 21, Satellite Town, Rawalpindi",Rawalpindi,Punjab,2017-10-16,2017,22165144,2799851,Filer,24870108,Salary
FBR-2026-843311,45501-1001533-1,K. Qureshi,"House 803, Street 31, G-11, Islamabad",Islamabad,Islamabad,2026-03-13,2026,2176777,2872,Non-Filer,1790590,Freelance
FBR-2023-116958,45501-1000674-8,S. Iqbal,"House 422, Street 28, Cantt, Multan",Multan,Punjab,2023-04-21,2023,2121887,146993,Filer,1779318,Unknown
FBR-2018-158138,42101-1001559-3,Chaudhry Rabia Noor,"House 267, Street 26, Military Road, Sukkur",Sukkur,Sindh,2018-06-12,2018,1496476,38722,Filer,1438896,Unknown
FBR-2016-296233,61101-1001894-8,Bilal Ahmed,"House 49, Street 21, Rohri, Sukkur",Sukkur,Sindh,2016-07-24,2016,684759,46825,Filer,131986,Unknown
FBR-2021-617250,17301-1000451-7,N. Raza,"House 723, Street 24, Bahadurabad, Karachi",Karachi,Sindh,2021-06-01,2021,2059584,103961,Filer,2764736,Unknown
FBR-2017-953409,54400-1000313-1,Shazia Butt,"House 941, Street 16, F-10, Islamabad",Islamabad,Islamabad,2017-04-21,2017,644982,2190,Non-Filer,759652,Business
FBR-2024-503224,45501-1001990-0,Huma Ghani,"House 721, Street 6, Queens Road, Sukkur",Sukkur,Sindh,2024-03-28,2024,1383418,135815,Filer,1462725,Business
FBR-2018-502075,42101-1000148-6,Fatima Ali Sahib,"House 210, Street 17, Hayatabad, Peshawar",Peshawar,KPK,2018-08-29,2018,2658299,1047,Non-Filer,954357,Unknown
FBR-2017-579814,33100-1000744-8,S. Iqbal,"House 100, Street 9, Cantt, Quetta",Quetta,Balochistan,2017-02-03,2017,458999,2655,Filer,575977,Agriculture
FBR-2019-572667,33100-1000906-2,Naveed Raza,"House 92, Street 9, People Colony, Faisalabad",Faisalabad,Punjab,2019-06-09,2019,4850358,343208,Filer,449460,Freelance
FBR-2024-813397,17301-1000030-0,Huma Ghani Sahib,"House 73, Street 9, Gulbahar, Peshawar",Peshawar,KPK,2024-05-05,2024,6187152,555122,Filer,3030934,Business
FBR-2016-214649,54400-1000938-6,K. Qureshi,"House 958, Street 29, Gulberg, Lahore",Lahore,Punjab,2016-07-10,2016,981286,93606,Filer,2501153,Unknown
FBR-2026-672714,61101-1001538-6,Chaudhry Shazia Butt,"House 435, Street 26, Cantt, Multan",Multan,Punjab,2026-03-05,2026,240091,945,Non-Filer,129387,Salary
FBR-2016-243256,61101-1000742-4,A. Khan,"House 913, Street 26, People Colony, Faisalabad",Faisalabad,Punjab,2016-07-08,2016,4509687,1701,Non-Filer,872905,Freelance
FBR-2026-812429,42101-1001771-7,T. Hussain,"House 335, Street 17, Gulbahar, Peshawar",Peshawar,KPK,2026-12-30,2026,27696052,2075306,Filer,3308238,Unknown
FBR-2019-940777,17301-1000866-2,M. Malik,"House 451, Street 8, DHA Phase 2, Islamabad",Islamabad,Islamabad,2019-08-12,2019,7456767,546068,Filer,5114394,Rental
FBR-2025-646420,45501-1000531-7,Hamza Sheikh,"House 237, Street 7, Model Town, Lahore",Lahore,Punjab,2025-07-02,2025,945708,47973,Filer,1634504,Rental
FBR-2018-777856,42101-1000259-3,Nimra Aslam,"House 111, Street 19, Satellite Town, Rawalpindi",Rawalpindi,Punjab,2018-08-12,2018,802916,753,Non-Filer,1347279,Rental
FBR-2018-785915,17301-1000840-0,Chaudhry Waseem Akram,"House 176, Street 11, PWD, Rawalpindi",Rawalpindi,Punjab,2018-12-16,2018,946350,2783,Non-Filer,1545322,Freelance
FBR-2021-447431,42101-1000555-5,Chaudhry Huma Ghani,"House 486, Street 19, Hayatabad, Peshawar",Peshawar,KPK,2021-05-31,2021,5985655,748424,Filer,2214847,Rental
FBR-2019-173221,54400-1001655-5,Z. Ahmed,"House 319, Street 33, Gulshan-e-Iqbal, Karachi",Karachi,Sindh,2019-05-28,2019,802547,1988,Non-Filer,301085,Salary
FBR-2017-583190,42101-1000635-5,Usman Malik Sahib,"House 49, Street 20, Satellite Town, Quetta",Quetta,Balochistan,2017-05-10,2017,1918867,67981,Filer,570925,Freelance
FBR-2023-700514,33100-1001303-1,Fatima Ali Sahib,"House 439, Street 2, Gulberg, Faisalabad",Faisalabad,Punjab,2023-02-01,2023,6739884,798627,Filer,1074053,Salary
FBR-2017-235482,35202-1001719-3,B. Ahmed,"House 578, Street 27, Madina Town, Faisalabad",Faisalabad,Punjab,2017-05-02,2017,775730,77014,Filer,339862,Unknown
FBR-2019-186163,54400-1001010-0,H. Ghani,"House 41, Street 35, Gulberg, Lahore",Lahore,Punjab,2019-02-25,2019,1403021,84978,Filer,140760,Business
FBR-2019-293190,33100-1001004-8,Laiba Khan Sahib,"House 546, Street 3, Barrage Road, Sukkur",Sukkur,Sindh,2019-01-13,2019,1712697,63010,Filer,1443439,Agriculture
FBR-2024-782629,33100-1000282-4,Chaudhry Ali Raza,"House 781, Street 31, New Pind, Sukkur",Sukkur,Sindh,2024-10-21,2024,651672,26238,Filer,552431,Agriculture
FBR-2019-187260,33100-1000187-9,U. Farooq,"House 319, Street 8, Satellite Town, Quetta",Quetta,Balochistan,2019-07-25,2019,1333531,108015,Filer,1997649,Business
FBR-2022-747286,33100-1000632-4,Ali Raza,"House 952, Street 35, Latifabad, Hyderabad",Hyderabad,Sindh,2022-07-18,2022,744353,71025,Filer,834858,Rental
FBR-2024-106031,35202-1001710-0,Huma Ghani,"House 986, Street 15, Bahria Town, Lahore",Lahore,Punjab,2024-03-05,2024,16933091,55998,Non-Filer,18073656,Unknown
FBR-2016-551207,61101-1000349-3,A. Chaudhry,"House 204, Street 27, DHA Multan, Multan",Multan,Punjab,2016-03-26,2016,1751450,149569,Filer,542348,Unknown
FBR-2022-425955,33100-1001895-5,U. Malik,"House 528, Street 11, Military Road, Sukkur",Sukkur,Sindh,2022-10-02,2022,1337882,136477,Filer,588251,Freelance
FBR-2016-841636,42101-1001410-0,Chaudhry Zainab Ahmed,"House 818, Street 19, Gulshan-e-Iqbal, Karachi",Karachi,Sindh,2016-12-24,2016,2415144,118052,Filer,2787399,Salary
FBR-2021-890617,54400-1001986-2,M. Malik,"House 858, Street 12, Hayatabad, Peshawar",Peshawar,KPK,2021-03-30,2021,2292208,171893,Filer,4453472,Freelance
FBR-2022-837678,61101-1001857-9,Chaudhry Ali Raza,"House 590, Street 24, PWD, Rawalpindi",Rawalpindi,Punjab,2022-11-12,2022,2321117,7492,Non-Filer,1028093,Agriculture
