travel_id,cnic,passenger_name,address,city,province,date,passport_no,travel_type,destination_country,airline,ticket_cost_pkr,hotel_cost_pkr,total_travel_cost_pkr
TRV-2020-657380,45501-1001868-6,Hira Shah,"House 502, Street 8, Saddar, Rawalpindi",Rawalpindi,Punjab,2020-06-25,CD8494635,Umrah,Abu Dhabi,Turkish Airlines,822670,922703,1745373
TRV-2016-973598,45501-1001868-6,Hira Shah,"House 502, Street 8, Saddar, Rawalpindi",Rawalpindi,Punjab,2016-09-30,XY4246545,International,Riyadh,Airblue,577950,1229486,1807436
TRV-2024-572261,33100-1001014-8,A. Chaudhry,"House 904, Street 33, People Colony, Faisalabad",Faisalabad,Punjab,2024-05-19,CD9146706,International,Dubai,Saudia,439471,1317418,1756889
TRV-2017-264703,45501-1000780-0,Zainab Ahmed Sahib,"House 276, Street 34, Auto Bhan, Hyderabad",Hyderabad,Sindh,2017-11-12,XY8026338,Tourism,Istanbul,SereneAir,518215,269408,787623
TRV-2022-681972,45501-1000780-0,Zainab Ahmed,"House 276, Street 34, Auto Bhan, Hyderabad",Hyderabad,Sindh,2022-12-15,XY4010409,Business,Abu Dhabi,Qatar Airways,566668,369491,936159
TRV-2025-153302,45501-1000780-0,Zainab Ahmed Sahib,"House 276, Street 34, Auto Bhan, Hyderabad",Hyderabad,Sindh,2025-03-13,PK7782562,Business,Jeddah,PIA,775364,80511,855875
TRV-2024-422225,45501-1001886-2,Naveed Raza,"House 906, Street 16, G-11, Islamabad",Islamabad,Islamabad,2024-02-27,PK3872647,Business,Doha,Turkish Airlines,277972,790462,1068434
TRV-2019-669862,45501-1000107-9,Ali Raza,"House 566, Street 13, Model Town, Gujranwala",Gujranwala,Punjab,2019-05-27,CD4655857,Tourism,Istanbul,Airblue,864743,754621,1619364
TRV-2022-100083,17301-1001433-1,Shazia Butt Sahib,"House 178, Street 13, Nazimabad, Karachi",Karachi,Sindh,2022-11-12,CD8477402,Business,Abu Dhabi,Saudia,390799,727518,1118317
TRV-2019-571950,35202-1001486-2,Fahad Mirza Sahib,"House 198, Street 34, F-10, Islamabad",Islamabad,Islamabad,2019-01-26,XY1474659,Tourism,Abu Dhabi,Airblue,203146,975207,1178353
TRV-2022-941262,54400-1000415-5,Huma Ghani,"House 471, Street 21, Latifabad, Hyderabad",Hyderabad,Sindh,2022-11-29,AB3757700,International,Istanbul,Qatar Airways,864991,239770,1104761
TRV-2016-190714,54400-1000415-5,H. Ghani,"House 471, Street 21, Latifabad, Hyderabad",Hyderabad,Sindh,2016-11-02,PK3368447,Tourism,Riyadh,Saudia,496283,187421,683704
TRV-2022-404054,33100-1001893-1,Hassan Khan,"House 706, Street 34, Bahria Town, Rawalpindi",Rawalpindi,Punjab,2022-08-07,XY9473870,Tourism,Istanbul,Saudia,180190,756629,936819
TRV-2023-491774,33100-1001893-1,Hassan Khan,"House 706, Street 34, Bahria Town, Rawalpindi",Rawalpindi,Punjab,2023-05-12,AB2335246,Umrah,Dubai,Qatar Airways,877783,130534,1008317
TRV-2016-228161,42101-1001213-1,Asad Iqbal,"House 252, Street 1, E-11, Islamabad",Islamabad,Islamabad,2016-04-28,PK1462728,Family Visit,Bangkok,SereneAir,493238,1383170,1876408
TRV-2018-155115,35202-1000890-0,Danish Butt,"House 369, Street 22, Bahadurabad, Karachi",Karachi,Sindh,2018-11-08,AB1906788,Tourism,Baku,Airblue,873996,1448786,2322782
TRV-2025-592426,35202-1000890-0,Danish Butt,"House 369, Street 22, Bahadurabad, Karachi",Karachi,Sindh,2025-08-06,CD7065534,Tourism,Doha,Saudia,848051,1038535,1886586
TRV-2022-851254,45501-1001461-7,Mariam Malik Sahib,"House 412, Street 35, Rohri, Sukkur",Sukkur,Sindh,2022-06-11,PK1666899,Business,Jeddah,Airblue,438832,1207651,1646483
TRV-2018-221647,45501-1000581-7,Taha Hussain,"House 262, Street 2, Model Town, Lahore",Lahore,Punjab,2018-06-18,CD8457630,International,Abu Dhabi,Turkish Airlines,88281,1370428,1458709
TRV-2020-997960,17301-1000030-0,Chaudhry Huma Ghani,"House 73, Street 9, Gulbahar, Peshawar",Peshawar,KPK,2020-08-14,CD9235960,Umrah,Abu Dhabi,Saudia,706849,565384,1272233
TRV-2024-325399,42101-1000265-5,Imran Siddiqui,"House 423, Street 23, People Colony, Faisalabad",Faisalabad,Punjab,2024-07-07,AB1351621,Business,London,Turkish Airlines,269252,678713,947965
TRV-2021-585835,42101-1000265-5,I. Siddiqui,"House 423, Street 23, People Colony, Faisalabad",Faisalabad,Punjab,2021-08-16,CD9974331,Business,London,Turkish Airlines,686379,799232,1485611
TRV-2019-227026,33100-1001315-5,Imran Siddiqui,"House 604, Street 25, Satellite Town, Gujranwala",Gujranwala,Punjab,2019-01-03,AB5030382,Family Visit,Riyadh,SereneAir,739046,64987,804033
TRV-2023-985330,33100-1001315-5,Imran Siddiqui,"House 604, Street 25, Satellite Town, Gujranwala",Gujranwala,Punjab,2023-02-09,XY2021643,Tourism,Bangkok,Emirates,847749,312277,1160026
TRV-2022-294613,33100-1001967-9,Ayesha Khan,"House 624, Street 13, Cantt, Multan",Multan,Punjab,2022-04-24,PK3435196,Umrah,London,PIA,374838,1101723,1476561
TRV-2026-572291,35202-1001054-8,Chaudhry Bilal Ahmed,"House 388, Street 33, Chaklala, Rawalpindi",Rawalpindi,Punjab,2026-12-08,XY5501629,Umrah,Riyadh,PIA,454035,1414169,1868204
TRV-2025-599107,33100-1001240-0,D. Butt,"House 474, Street 3, Barrage Road, Sukkur",Sukkur,Sindh,2025-09-05,AB6958957,Family Visit,Abu Dhabi,SereneAir,244677,1387556,1632233
TRV-2018-953810,17301-1000223-1,Chaudhry Hira Shah,"House 150, Street 33, Chaklala, Rawalpindi",Rawalpindi,Punjab,2018-01-27,XY1997590,Business,Doha,SereneAir,715183,228315,943498
TRV-2016-294816,17301-1001725-5,Chaudhry Zainab Ahmed,"House 344, Street 9, Brewery Road, Quetta",Quetta,Balochistan,2016-10-11,AB8519520,Business,London,Airblue,309171,1046467,1355638
TRV-2025-910896,61101-1000614-8,R. Noor,"House 793, Street 8, G-11, Islamabad",Islamabad,Islamabad,2025-05-21,AB3449457,International,London,Emirates,421364,312814,734178
TRV-2017-577072,61101-1000614-8,R. Noor,"House 793, Street 8, G-11, Islamabad",Islamabad,Islamabad,2017-04-18,AB4796733,Business,Istanbul,Saudia,245969,647509,893478
TRV-2018-137076,42101-1001236-2,S. Qureshi,"House 304, Street 20, Bahadurabad, Karachi",Karachi,Sindh,2018-01-31,AB9156324,Family Visit,Riyadh,Turkish Airlines,543831,274087,817918
TRV-2018-637189,35202-1000111-7,H. Sheikh,"House 929, Street 5, Saddar, Hyderabad",Hyderabad,Sindh,2018-09-17,PK8876371,International,Istanbul,Qatar Airways,533223,391571,924794
TRV-2024-709653,33100-1000484-8,N. Hussain,"House 289, Street 33, New Pind, Sukkur",Sukkur,Sindh,2024-07-16,AB1576988,Business,Riyadh,Turkish Airlines,659688,878252,1537940
TRV-2016-382866,33100-1000484-8,N. Hussain,"House 289, Street 33, New Pind, Sukkur",Sukkur,Sindh,2016-11-21,CD5654806,Umrah,Istanbul,Emirates,501309,533757,1035066
TRV-2016-929361,33100-1000539-3,N. Aslam,"House 887, Street 18, Cantt, Quetta",Quetta,Balochistan,2016-08-11,CD4652516,Family Visit,Bangkok,Airblue,527235,1236633,1763868
TRV-2021-188560,45501-1000856-2,Chaudhry Fahad Mirza,"House 833, Street 23, Bahria Town, Rawalpindi",Rawalpindi,Punjab,2021-04-03,PK6511040,Umrah,London,Turkish Airlines,94638,499593,594231
TRV-2019-929667,45501-1000856-2,Chaudhry Fahad Mirza,"House 833, Street 23, Bahria Town, Rawalpindi",Rawalpindi,Punjab,2019-07-10,CD7071994,Tourism,Baku,PIA,862367,1432549,2294916
TRV-2026-498112,35202-1001742-4,Ahmed Baig,"House 753, Street 8, Bahria Town, Rawalpindi",Rawalpindi,Punjab,2026-04-17,PK4084306,Tourism,London,PIA,122309,273067,395376
TRV-2018-209054,35202-1001649-3,Chaudhry Bilal Ahmed,"House 382, Street 32, Canal Road, Faisalabad",Faisalabad,Punjab,2018-02-26,AB2372441,Umrah,Jeddah,Airblue,181458,847677,1029135
TRV-2019-509034,45501-1001462-4,A. Baig,"House 273, Street 29, Jinnah Town, Quetta",Quetta,Balochistan,2019-04-25,CD6298524,Family Visit,Riyadh,Turkish Airlines,572641,228194,800835
TRV-2020-428611,61101-1001855-5,Waseem Akram,"House 722, Street 17, University Road, Peshawar",Peshawar,KPK,2020-06-14,XY6903175,Umrah,Baku,Qatar Airways,609259,229065,838324
TRV-2021-916362,61101-1001855-5,Waseem Akram,"House 722, Street 17, University Road, Peshawar",Peshawar,KPK,2021-04-02,CD4946222,Business,Doha,Emirates,157814,885274,1043088
TRV-2018-707030,17301-1000258-6,Hira Shah,"House 750, Street 8, Model Town, Gujranwala",Gujranwala,Punjab,2018-01-01,XY7125873,Business,Abu Dhabi,SereneAir,715563,203870,919433
TRV-2020-459441,33100-1000923-1,Chaudhry Hira Shah,"House 179, Street 28, Auto Bhan, Hyderabad",Hyderabad,Sindh,2020-06-26,PK3099063,International,Doha,PIA,858004,1407948,2265952
TRV-2025-105635,17301-1001382-4,Maham Tariq,"House 223, Street 23, Peoples Colony, Gujranwala",Gujranwala,Punjab,2025-01-13,AB5682005,International,Dubai,Saudia,85260,1120213,1205473
TRV-2020-777429,17301-1001382-4,Maham Tariq Sahib,"House 223, Street 23, Peoples Colony, Gujranwala",Gujranwala,Punjab,2020-01-04,CD7744847,International,Kuala Lumpur,Emirates,244929,1233767,1478696
TRV-2020-723395,17301-1000424-8,Bilal Ahmed Sahib,"House 87, Street 20, G-11, Islamabad",Islamabad,Islamabad,2020-01-21,AB1112715,Business,Abu Dhabi,Saudia,553073,157094,710167
TRV-2018-698865,61101-1001379-3,Nimra Aslam Sahib,"House 216, Street 17, Brewery Road, Quetta",Quetta,Balochistan,2018-03-08,AB4352240,Business,Baku,Turkish Airlines,641055,1212732,1853787
TRV-2024-304003,33100-1000759-3,Chaudhry Laiba Khan,"House 461, Street 22, DHA Phase 2, Islamabad",Islamabad,Islamabad,2024-12-31,AB5470380,Family Visit,Riyadh,Airblue,378484,1064787,1443271
TRV-2025-309109,33100-1000759-3,Laiba Khan Sahib,"House 461, Street 22, DHA Phase 2, Islamabad",Islamabad,Islamabad,2025-02-19,AB5516174,Business,Istanbul,PIA,609894,388773,998667
TRV-2018-651504,33100-1000759-3,Laiba Khan,"House 461, Street 22, DHA Phase 2, Islamabad",Islamabad,Islamabad,2018-05-08,AB5320352,Family Visit,Doha,Turkish Airlines,96696,1227342,1324038
TRV-2020-253278,33100-1000759-3,Chaudhry Laiba Khan,"House 461, Street 22, DHA Phase 2, Islamabad",Islamabad,Islamabad,2020-03-10,AB6311794,Family Visit,Abu Dhabi,Turkish Airlines,390259,618504,1008763
TRV-2024-760973,17301-1000404-8,Rabia Noor,"House 618, Street 22, Shah Rukn-e-Alam, Multan",Multan,Punjab,2024-03-29,CD6944529,International,Kuala Lumpur,Saudia,841690,1252964,2094654
TRV-2018-428728,17301-1000404-8,R. Noor,"House 618, Street 22, Shah Rukn-e-Alam, Multan",Multan,Punjab,2018-03-29,PK8871984,Umrah,Bangkok,Airblue,824062,67457,891519
TRV-2018-617496,17301-1000404-8,Chaudhry Rabia Noor,"House 618, Street 22, Shah Rukn-e-Alam, Multan",Multan,Punjab,2018-07-15,PK2878296,Business,Riyadh,Qatar Airways,704891,1411350,2116241
TRV-2024-998540,17301-1000404-8,Chaudhry Rabia Noor,"House 618, Street 22, Shah Rukn-e-Alam, Multan",Multan,Punjab,2024-05-25,CD8561482,Family Visit,London,SereneAir,535125,325717,860842
TRV-2018-918090,45501-1001718-6,Hassan Khan,"House 486, Street 24, E-11, Islamabad",Islamabad,Islamabad,2018-06-26,PK9502262,Tourism,Kuala Lumpur,Airblue,201109,842957,1044066
TRV-2018-882573,35202-1001706-2,Mariam Malik,"House 600, Street 6, Chaklala, Rawalpindi",Rawalpindi,Punjab,2018-02-13,PK2876020,Umrah,Doha,Turkish Airlines,295296,665574,960870
TRV-2021-628212,35202-1001706-2,Mariam Malik,"House 600, Street 6, Chaklala, Rawalpindi",Rawalpindi,Punjab,2021-02-14,CD1620829,Tourism,Bangkok,Airblue,451992,870178,1322170
TRV-2026-888028,54400-1000226-2,F. Mirza,"House 328, Street 25, Johar Town, Lahore",Lahore,Punjab,2026-01-26,AB4722419,International,Kuala Lumpur,PIA,891701,357040,1248741
TRV-2019-633571,45501-1000464-8,S. Iqbal,"House 253, Street 27, Shah Rukn-e-Alam, Multan",Multan,Punjab,2019-12-04,PK1261392,Business,Abu Dhabi,Airblue,711895,182811,894706
TRV-2021-536324,45501-1000464-8,Sana Iqbal,"House 253, Street 27, Shah Rukn-e-Alam, Multan",Multan,Punjab,2021-01-27,PK2191880,Tourism,London,Qatar Airways,339154,1136331,1475485
TRV-2019-225369,45501-1000464-8,S. Iqbal,"House 253, Street 27, Shah Rukn-e-Alam, Multan",Multan,Punjab,2019-01-02,CD6503868,International,London,Airblue,375972,1059413,1435385
TRV-2019-627545,17301-1001988-6,Kamran Qureshi Sahib,"House 840, Street 12, Shah Rukn-e-Alam, Multan",Multan,Punjab,2019-11-02,AB7233014,Business,Baku,Emirates,484444,443802,928246
TRV-2021-243722,61101-1001809-3,Laiba Khan Sahib,"House 836, Street 31, Gulshan-e-Iqbal, Karachi",Karachi,Sindh,2021-12-23,PK4686361,Family Visit,Dubai,Saudia,549056,51895,600951
TRV-2019-456635,61101-1001809-3,L. Khan,"House 836, Street 31, Gulshan-e-Iqbal, Karachi",Karachi,Sindh,2019-01-22,XY1545437,International,Doha,Turkish Airlines,602496,1181644,1784140
TRV-2017-435885,45501-1001617-9,A. Khan,"House 822, Street 13, DHA Phase 6, Karachi",Karachi,Sindh,2017-11-13,AB5326452,International,Baku,Qatar Airways,296689,146523,443212
TRV-2020-510356,61101-1000857-9,Maham Tariq,"House 804, Street 26, PWD, Rawalpindi",Rawalpindi,Punjab,2020-09-17,AB4553604,Tourism,Bangkok,SereneAir,859884,657152,1517036
TRV-2024-497561,35202-1000927-9,Maham Tariq,"House 980, Street 23, Madina Town, Faisalabad",Faisalabad,Punjab,2024-09-07,AB5538508,Umrah,London,PIA,109664,1042081,1151745
TRV-2025-352020,35202-1000927-9,Maham Tariq Sahib,"House 980, Street 23, Madina Town, Faisalabad",Faisalabad,Punjab,2025-02-20,PK7374530,International,Jeddah,Airblue,609795,799205,1409000
TRV-2020-855757,54400-1000156-2,Chaudhry Fahad Mirza,"House 492, Street 10, Clifton, Karachi",Karachi,Sindh,2020-01-05,PK6885117,Tourism,Riyadh,Qatar Airways,352318,1485168,1837486
TRV-2025-253168,54400-1000156-2,F. Mirza,"House 492, Street 10, Clifton, Karachi",Karachi,Sindh,2025-10-21,PK3747286,Umrah,Istanbul,Qatar Airways,230704,587480,818184
TRV-2019-233398,42101-1000745-5,Z. Ahmed,"House 921, Street 10, Bahria Town, Lahore",Lahore,Punjab,2019-11-03,XY9829650,Umrah,Abu Dhabi,Turkish Airlines,803788,849661,1653449
TRV-2025-692484,33100-1001085-5,Waseem Akram Sahib,"House 687, Street 15, Rohri, Sukkur",Sukkur,Sindh,2025-06-27,XY7315067,International,Jeddah,PIA,327571,375546,703117
TRV-2019-690602,61101-1001028-6,Hira Shah Sahib,"House 972, Street 2, DHA Phase 2, Islamabad",Islamabad,Islamabad,2019-10-10,AB5114853,Umrah,Istanbul,PIA,701240,1409107,2110347
TRV-2018-102769,33100-1000771-7,Muhammad Ahmed,"House 325, Street 8, Warsak Road, Peshawar",Peshawar,KPK,2018-03-24,XY1259684,Business,Doha,PIA,190574,62423,252997
TRV-2019-365145,42101-1001160-0,U. Malik,"House 903, Street 12, People Colony, Faisalabad",Faisalabad,Punjab,2019-11-16,XY7560188,International,Jeddah,Qatar Airways,659380,279364,938744
TRV-2020-367236,33100-1000158-6,Kashif Javed,"House 348, Street 31, Satellite Town, Quetta",Quetta,Balochistan,2020-03-08,CD8451432,Family Visit,London,SereneAir,778513,374874,1153387
TRV-2024-456624,33100-1000158-6,K. Javed,"House 348, Street 31, Satellite Town, Quetta",Quetta,Balochistan,2024-01-22,XY6016066,Tourism,Riyadh,Turkish Airlines,451696,490624,942320
TRV-2025-253676,33100-1000158-6,K. Javed,"House 348, Street 31, Satellite Town, Quetta",Quetta,Balochistan,2025-03-25,AB4954694,Umrah,Bangkok,Turkish Airlines,383074,647742,1030816
TRV-2019-565023,33100-1000158-6,K. Javed,"House 348, Street 31, Satellite Town, Quetta",Quetta,Balochistan,2019-11-24,XY9496150,International,Riyadh,Saudia,423869,1269729,1693598
TRV-2025-787863,33100-1000308-6,Kamran Qureshi,"House 67, Street 7, Satellite Town, Quetta",Quetta,Balochistan,2025-01-08,CD7242899,Family Visit,Baku,SereneAir,544398,481306,1025704
TRV-2018-152128,33100-1000308-6,Chaudhry Kamran Qureshi,"House 67, Street 7, Satellite Town, Quetta",Quetta,Balochistan,2018-05-20,AB3281941,Family Visit,London,SereneAir,536532,1478172,2014704
TRV-2026-598454,33100-1000308-6,Kamran Qureshi,"House 67, Street 7, Satellite Town, Quetta",Quetta,Balochistan,2026-11-20,XY3439490,Business,Doha,Emirates,136707,600043,736750
TRV-2017-440536,33100-1001814-8,N. Hussain,"House 874, Street 26, F-10, Islamabad",Islamabad,Islamabad,2017-11-21,CD3734730,International,Dubai,SereneAir,589692,1247939,1837631
TRV-2022-319736,17301-1000537-9,U. Farooq,"House 789, Street 11, Auto Bhan, Hyderabad",Hyderabad,Sindh,2022-06-29,PK8873461,Umrah,Baku,Qatar Airways,707264,262477,969741
TRV-2019-299115,17301-1000537-9,Umer Farooq,"House 789, Street 11, Auto Bhan, Hyderabad",Hyderabad,Sindh,2019-08-25,CD1675181,Business,Doha,PIA,469610,684725,1154335
TRV-2025-771862,17301-1000537-9,Chaudhry Umer Farooq,"House 789, Street 11, Auto Bhan, Hyderabad",Hyderabad,Sindh,2025-12-07,CD7139997,Tourism,Dubai,Turkish Airlines,199533,1220604,1420137
TRV-2018-182252,42101-1000248-6,Hassan Khan,"House 896, Street 6, Cantt, Quetta",Quetta,Balochistan,2018-07-27,CD1578113,International,Istanbul,PIA,466934,224073,691007
TRV-2019-882447,42101-1000248-6,Hassan Khan,"House 896, Street 6, Cantt, Quetta",Quetta,Balochistan,2019-02-13,PK6556368,Tourism,Bangkok,SereneAir,98586,561371,659957
TRV-2020-615365,42101-1000240-0,H. Ghani,"House 832, Street 5, Canal Road, Faisalabad",Faisalabad,Punjab,2020-12-04,CD8378060,International,Riyadh,SereneAir,313028,894868,1207896
TRV-2024-576660,54400-1000670-0,Chaudhry Usman Malik,"House 749, Street 28, Hayatabad, Peshawar",Peshawar,KPK,2024-07-29,XY8417382,Tourism,Kuala Lumpur,PIA,886828,1125727,2012555
TRV-2016-385182,45501-1001145-5,Sara Ahmed Sahib,"House 932, Street 26, Bahria Town, Lahore",Lahore,Punjab,2016-03-17,XY1701464,International,Riyadh,Qatar Airways,538637,560940,1099577
TRV-2016-853906,45501-1001145-5,S. Ahmed,"House 932, Street 26, Bahria Town, Lahore",Lahore,Punjab,2016-08-31,AB8392146,Business,Jeddah,PIA,129144,1377579,1506723
TRV-2019-395713,45501-1001145-5,Sara Ahmed Sahib,"House 932, Street 26, Bahria Town, Lahore",Lahore,Punjab,2019-08-16,CD6325064,International,Baku,PIA,579189,208860,788049
TRV-2025-356002,45501-1001756-2,Chaudhry Hamza Sheikh,"House 728, Street 14, Military Road, Sukkur",Sukkur,Sindh,2025-12-03,CD9374592,Tourism,Doha,Airblue,194679,1312044,1506723
TRV-2019-159910,42101-1001454-8,Rabia Noor,"House 316, Street 19, Military Road, Sukkur",Sukkur,Sindh,2019-12-23,AB7984395,Tourism,Bangkok,PIA,867298,1283782,2151080
TRV-2020-787039,54400-1000586-2,Mariam Malik Sahib,"House 812, Street 33, Satellite Town, Gujranwala",Gujranwala,Punjab,2020-03-11,XY2309095,Tourism,Abu Dhabi,PIA,451163,1424891,1876054
TRV-2020-616583,54400-1000586-2,Mariam Malik,"House 812, Street 33, Satellite Town, Gujranwala",Gujranwala,Punjab,2020-11-04,PK7534579,International,Abu Dhabi,PIA,104545,289271,393816
TRV-2026-648645,61101-1001945-5,I. Siddiqui,"House 511, Street 9, Rohri, Sukkur",Sukkur,Sindh,2026-06-18,CD8590630,Umrah,London,Emirates,381837,828823,1210660
TRV-2020-590632,54400-1000851-7,S. Qureshi,"House 596, Street 2, Queens Road, Sukkur",Sukkur,Sindh,2020-04-23,PK7893060,International,Baku,Turkish Airlines,466944,1135023,1601967
TRV-2024-943205,54400-1000694-8,N. Hussain,"House 634, Street 28, F-10, Islamabad",Islamabad,Islamabad,2024-11-28,AB3031246,Tourism,Doha,Qatar Airways,415508,660552,1076060
