cnic,registry_no,buyer_name,seller_name,property_address,property_value_pkr,transfer_date,area_marla,property_type
53450-9681099-5,REGY-704440,Chaudhry Rodney Woods,Jennifer Ross,"House 116, Bahria Town, Lahore",17696284,2022-03-05,10,Plot
21018-5455429-5,REGY-433452,Jordan Paul,Robert Smith,"House 928, Bahria Town, Islamabad",9025685,2025-11-12,5,Plot
26981-8084249-5,REGY-384143,J. Goodman,Kristen Rich,"Kothi 153, Johar Town, Rawalpindi",14667815,2024-07-09,20,Commercial
52866-2500926-5,REGY-314449,Mr. Heidi Brown,James Brown,"House 819, Bahria Town, Rawalpindi",2558915,2023-11-16,20,Apartment
19491-5511786-1,REGY-966630,Chaudhry Michael Fowler,Margaret Phillips,"House 821, Model Town, Lahore",44257119,2025-10-02,10,House
89715-4731386-2,REGY-531120,Chaudhry Joshua Gonzalez,Holly Tran,"Flat 884, DHA, Rawalpindi",71942832,2020-05-06,5,House
11513-6690022-9,REGY-157871,M. Mccoy,Rebecca Crawford,"Kothi 949, Model Town, Karachi",9925389,2021-06-17,15,Plot
15663-9840167-4,REGY-664864,Taylor Richardson,Michael Gonzales,"House 993, Bahria Town, Islamabad",5820991,2020-02-26,20,Apartment
16603-4039125-4,REGY-366568,Zachary A. Rich,Allison Butler,"Flat 644, Model Town, Karachi",23450601,2022-06-24,5,House
48005-8477384-9,REGY-981548,Chaudhry Amy Brown,Alyssa Davenport,"Plot 278, Model Town, Lahore",20541119,2020-01-06,20,Apartment
42826-1619907-1,REGY-771287,J. Burgess,Robert Villa,"House 751, Johar Town, Karachi",8589888,2023-09-20,5,Commercial
77401-8965161-4,REGY-391388,Mr. Karen Wilson,Kim Nguyen,"Kothi 109, Gulberg, Rawalpindi",19949817,2024-11-10,15,House
81553-7594889-9,REGY-528528,Chaudhry Sherri Anderson,Jennifer Lee,"Flat 705, Bahria Town, Karachi",6399550,2020-04-23,20,House
54918-4332365-3,REGY-408711,Chaudhry Jeffrey Carroll,Madeline Rivera,"Kothi 356, DHA, Karachi",5652957,2023-07-04,15,Commercial
11868-2186531-5,REGY-112035,Stephen A. Stewart,Steve Hill,"Kothi 168, DHA, Lahore",21536288,2021-06-13,20,Plot
97192-7390135-9,REGY-468460,Mr. Justin Silva,Chelsea Smith,"Flat 614, Bahria Town, Islamabad",7413058,2022-06-24,15,Commercial
15929-8708341-3,REGY-882598,Chaudhry David Jensen,Melissa Mack,"Plot 276, Gulberg, Lahore",71863010,2022-01-11,10,Plot
44503-7109278-6,REGY-532398,Russell A. Haynes,Kathleen Ortiz,"Flat 251, DHA, Islamabad",5584380,2025-12-03,5,Plot
38556-6982485-3,REGY-915994,Brandon A. Johnson,Kimberly Johnson,"House 344, Gulberg, Lahore",5809113,2023-11-18,10,Apartment
72212-5679649-9,REGY-983050,Kevin Robertson,Victor Williams,"Plot 255, Johar Town, Lahore",5196842,2024-09-20,5,Plot
21908-5432015-2,REGY-826157,Mr. Donna Diaz,Joel Pearson,"Plot 410, Johar Town, Lahore",8529231,2023-07-19,20,House
61639-1377389-5,REGY-402193,Mr. Angela Miller,Crystal Stephenson,"Flat 645, Bahria Town, Lahore",2102149,2021-06-10,20,Apartment
86753-9878327-3,REGY-690980,Chaudhry Steven Woodward,Eric Avila,"Kothi 783, Model Town, Rawalpindi",18976645,2021-02-09,20,Apartment
29590-5767691-3,REGY-948938,D. Cunningham,Amanda Crawford,"House 845, Johar Town, Rawalpindi",76011540,2020-07-17,10,Plot
76262-3337193-9,REGY-216604,M. Griffin,Rodney Hardy,"House 847, Johar Town, Karachi",7998017,2025-06-13,20,House
21153-1522786-1,REGY-726848,Chaudhry Brittney Henderson,Dale Phillips,"Plot 653, Model Town, Lahore",6948725,2020-09-07,5,Commercial
59364-8573003-9,REGY-518817,B. Wilson,Eugene Garcia,"House 643, DHA, Karachi",7899310,2020-02-21,20,Commercial
74132-5425710-1,REGY-191135,Chaudhry Paul Pope,Andrew Sampson,"Kothi 817, DHA, Lahore",41501186,2021-12-24,15,Plot
96415-9824650-2,REGY-345134,Haley A. Austin,Amber Christian,"Kothi 259, DHA, Islamabad",9645459,2024-04-04,20,Apartment
40773-4442978-4,REGY-521181,N. Gardner,Jack Morton,"Kothi 506, Gulberg, Lahore",11379757,2024-04-11,10,Apartment
72784-5820415-1,REGY-845431,S. Soto,Joseph Martinez,"Plot 80, Johar Town, Karachi",51945013,2023-05-06,10,House
53486-5260410-5,REGY-868201,Diane Ross,Jodi Porter,"Plot 13, Gulberg, Lahore",8740925,2023-01-05,15,Commercial
73674-5509258-2,REGY-722182,Mr. Benjamin Arias,Jason Rubio,"Plot 692, Gulberg, Islamabad",8091151,2023-05-01,20,Plot
77703-5790625-8,REGY-600951,Brianna Yoder,Allison Nguyen,"Kothi 478, DHA, Karachi",8867031,2022-02-19,10,Commercial
50851-2440395-8,REGY-527500,Chaudhry Kevin Randall,Cindy Larsen,"House 297, Gulberg, Lahore",8979811,2022-09-27,10,Commercial
76403-8540535-5,REGY-482656,John A. Forbes,Benjamin Miller,"Kothi 215, Bahria Town, Lahore",8071735,2024-05-09,5,Apartment
86214-2515034-3,REGY-468326,Larry Jimenez,Holly Price,"Flat 976, Model Town, Karachi",20993508,2024-01-06,15,House
89084-9535313-5,REGY-920638,David A. Clark,Brandi Cochran,"House 721, Model Town, Karachi",19199397,2023-08-10,15,House
75259-9156086-7,REGY-465941,Chaudhry Thomas Thomas,Angela Foster,"House 163, DHA, Rawalpindi",24937904,2023-03-22,5,House
99337-8562502-7,REGY-703713,Mr. Thomas Ingram,April Rose,"Flat 745, Bahria Town, Rawalpindi",10384117,2022-09-13,15,Apartment
55083-7310014-6,REGY-786302,Chaudhry Michelle Gardner,Rodney Mitchell,"House 861, Model Town, Lahore",2258132,2021-01-25,10,Commercial
52539-6675272-7,REGY-455914,Joshua Smith,Barry Wheeler,"House 963, Bahria Town, Lahore",10807644,2024-06-21,10,Plot
47988-5248196-6,REGY-276787,D. Combs,Christine Moore,"House 403, Gulberg, Lahore",8566833,2023-04-05,15,House
57278-8181533-5,REGY-201037,Mr. Kathy Adams,James Lynn,"House 288, DHA, Lahore",11341130,2023-02-08,10,Plot
96766-5791961-3,REGY-333476,Claudia A. MD,Rebecca Hughes,"Plot 995, Model Town, Rawalpindi",9921534,2025-09-17,20,House
76972-6294912-4,REGY-245878,Elizabeth Williams,Jeffrey Edwards,"Flat 804, Gulberg, Lahore",7943147,2020-12-15,10,Plot
92692-7711585-9,REGY-393267,Chaudhry Gregory Medina,Tara Brown,"Plot 737, DHA, Lahore",8098782,2020-10-21,15,Plot
63855-8564182-3,REGY-416048,Jennifer Lopez,Andrew Johnson,"Flat 498, DHA, Karachi",7175871,2024-07-03,15,Plot
32382-8921934-7,REGY-702449,M. Lane,Lauren Hull,"Flat 289, Model Town, Islamabad",6115025,2024-01-05,10,Apartment
95566-5364912-7,REGY-713324,Mr. Charles Stephens,Andrew Cruz,"Plot 309, Gulberg, Rawalpindi",13478799,2022-01-10,15,Commercial
25694-3807372-3,REGY-882339,A. Rodriguez,Alexandra Snow,"House 213, Johar Town, Rawalpindi",6160835,2022-05-20,5,Apartment
82140-4691411-8,REGY-215828,Daniel Nelson,Walter Bautista,"Flat 778, Gulberg, Rawalpindi",11949075,2020-12-28,20,House
28297-4228055-4,REGY-330385,Mr. Timothy Anderson,Frank Long,"House 179, Model Town, Lahore",3691041,2020-08-26,10,Plot
51849-5011878-6,REGY-553602,Dylan A. Ramirez,Adam Bernard,"Flat 829, Johar Town, Karachi",20132605,2021-05-06,20,Commercial
12632-7925327-7,REGY-550663,Alice Harris,Christopher Lloyd,"Kothi 764, Johar Town, Karachi",10237205,2022-06-24,5,Commercial
59396-5533872-6,REGY-119526,R. Jones,Donna Williams,"House 511, Model Town, Islamabad",14359442,2023-09-08,5,House
26498-9445579-9,REGY-901363,Chaudhry Clinton Marquez,Alexander Gonzalez,"Plot 95, Model Town, Karachi",13539847,2023-09-02,15,Plot
60405-7706811-8,REGY-340481,Brian A. Hood,Stephanie Boyd,"Kothi 977, Model Town, Lahore",9117551,2021-01-20,10,Apartment
26678-1540956-7,REGY-215903,Mr. Catherine Cameron,Michael Sharp,"Kothi 992, Johar Town, Rawalpindi",2050659,2021-07-16,20,Commercial
10023-2227050-7,REGY-171296,Chaudhry Dr. Joseph Wood PhD,Cheryl Haynes,"Kothi 996, Gulberg, Karachi",21361256,2025-10-19,20,House
24292-4754747-3,REGY-896579,K. Mahoney,Antonio Howell,"Plot 535, DHA, Rawalpindi",5962659,2021-02-06,20,Plot
21141-1663476-1,REGY-143253,Juan A. Rosario,Rodney Swanson,"Plot 239, Johar Town, Lahore",45784080,2020-07-23,10,Plot
94607-6096620-3,REGY-753485,Chaudhry Michelle Heath,Roberto Carter,"Flat 541, Gulberg, Lahore",7771518,2024-05-13,5,Plot
23034-2180309-5,REGY-439483,E. Gibson,William Foster,"Plot 398, Model Town, Karachi",20180169,2021-08-21,10,Commercial
88782-1019327-1,REGY-735533,Steven Singh,Casey Ortega,"Flat 472, Model Town, Islamabad",4539392,2025-06-19,15,Commercial
94485-5066085-8,REGY-853652,Chaudhry Elizabeth George,Dr. Robert Dillon,"Plot 561, Bahria Town, Lahore",7555275,2021-03-26,10,Commercial
63976-6157279-1,REGY-637721,L. Thomas,John Cummings,"House 199, Gulberg, Rawalpindi",73265469,2025-11-08,5,Apartment
20628-5316041-4,REGY-985084,Danielle A. Sherman,Vernon Boone,"Kothi 948, Model Town, Karachi",11436184,2023-06-13,15,House
74611-1572059-6,REGY-374188,Chaudhry Kimberly Kim,Judith Ortiz,"Kothi 372, Gulberg, Karachi",7388357,2022-11-12,20,House
10885-5900812-9,REGY-972556,Mr. Jose Knight,Rebecca Miller,"House 211, Gulberg, Karachi",4932306,2024-06-12,10,Apartment
50857-4253660-4,REGY-663596,J. Jones,Sean Brown,"Kothi 227, Model Town, Islamabad",14913831,2022-05-19,20,House
24287-9317551-3,REGY-954719,Chaudhry Jeffrey Clark,Becky Cuevas,"Plot 497, Gulberg, Lahore",22561244,2024-05-06,20,Commercial
87961-3455900-7,REGY-157484,Mr. William Phillips,Randy Haney,"House 219, DHA, Karachi",8422362,2025-10-24,5,Plot
64445-1869739-1,REGY-537822,Mr. Nicole Lewis,Gwendolyn Patel PhD,"Plot 403, Gulberg, Islamabad",5721580,2022-07-15,20,House
24838-2331459-3,REGY-118415,Chaudhry Kathryn Wagner,Dawn Tran,"Flat 196, Bahria Town, Rawalpindi",3433260,2020-06-22,15,House
14180-6231591-7,REGY-678049,Rachel A. Scott,Dr. Jose Randall,"Flat 340, Gulberg, Karachi",19805856,2025-07-18,5,Plot
24281-1048162-2,REGY-240902,Chaudhry Charles Carter,Cynthia Meadows,"Flat 83, Model Town, Rawalpindi",4941755,2025-07-21,5,Commercial
26214-4479635-7,REGY-669613,Christopher Oneill,Stacey Gonzalez,"Flat 788, Model Town, Rawalpindi",5404168,2024-09-01,5,Plot
21502-1826400-8,REGY-291713,Caitlin A. Mccoy,Kristine Christian,"Plot 382, Johar Town, Rawalpindi",10176902,2020-09-27,5,Plot
35300-6424228-6,REGY-774750,Matthew A. Williams,Jeffrey Hatfield,"Kothi 32, Gulberg, Karachi",13593902,2025-08-14,20,House
91973-7790957-1,REGY-434586,Jerry A. Dixon,Jose Cooper,"Kothi 36, Gulberg, Lahore",8863322,2024-09-06,15,House
18126-5312012-4,REGY-804152,J. Johnson MD,Laurie Bolton,"House 921, Johar Town, Islamabad",7238825,2023-05-19,10,Apartment
57575-5568681-6,REGY-761596,Mr. Joshua Mitchell,Benjamin Gomez,"House 269, Model Town, Islamabad",10924745,2021-10-19,20,Apartment
48981-1063277-2,REGY-138312,J. Lawson,Robert Thomas,"House 846, Bahria Town, Lahore",4246599,2022-08-14,5,Commercial
72283-8813886-7,REGY-643775,Chaudhry Melissa Jensen,Joe Deleon,"Flat 936, Gulberg, Rawalpindi",76562567,2025-12-26,20,Apartment
27394-9330569-3,REGY-122034,Patricia A. Williams,Kenneth Powers,"House 822, Model Town, Karachi",2814740,2020-04-28,15,Apartment
89594-4961813-6,REGY-877182,A. Johnson,Rebekah Garcia,"Flat 472, Model Town, Lahore",2136157,2023-01-10,20,Apartment
77093-4310342-7,REGY-701828,P. Phillips,Joshua Brown,"Plot 254, Gulberg, Lahore",7183262,2021-01-25,10,Plot
95137-1568138-8,REGY-154599,Mr. Michael Chapman,Andrew Phillips,"Flat 165, Gulberg, Lahore",4540298,2022-03-02,5,Apartment
19458-5444138-2,REGY-678844,Chaudhry Kelly Davis,Erin Thompson,"Plot 99, Gulberg, Rawalpindi",3373048,2023-01-24,20,Plot
68584-3905677-4,REGY-124199,G. Peters,Adam Moyer,"Plot 427, Gulberg, Karachi",25586426,2021-06-26,15,Apartment
80590-3032806-5,REGY-669475,Hannah A. Green,Kathleen Wolfe,"Flat 287, Johar Town, Islamabad",10299509,2024-04-12,20,Commercial
58886-5262360-5,REGY-638699,Matthew A. Harris,Alexandra Barnes,"Plot 450, Bahria Town, Karachi",8681770,2022-06-07,5,House
42157-4951101-3,REGY-954039,Andrea A. George,Russell Simmons,"Flat 906, Johar Town, Karachi",28957134,2020-12-20,20,Apartment
52773-2087232-7,REGY-472538,A. Ramirez,Brandon Adams,"Flat 252, Johar Town, Karachi",11345456,2020-12-24,20,House
95149-2686822-8,REGY-363435,Ryan A. Fuller,Rebecca Coleman,"House 105, DHA, Rawalpindi",24726067,2020-09-14,20,Plot
40292-8521178-6,REGY-932007,Chaudhry Ashley Taylor,Anthony Sparks,"House 898, Model Town, Karachi",10576473,2021-03-07,5,Commercial
25625-1845423-4,REGY-889227,Cassandra A. Griffith,Tom Atkinson,"Plot 953, DHA, Islamabad",4540684,2025-01-04,10,Apartment
77196-3982301-8,REGY-475580,Chaudhry Nicole Daniels,Nicholas Hooper,"Flat 794, DHA, Lahore",4803774,2023-12-20,10,Apartment
93552-6866986-4,REGY-845480,Michelle Lambert,Justin Jones,"House 378, Model Town, Karachi",74608958,2024-08-16,15,House
15788-4422156-5,REGY-282987,K. Reid,Christopher Fuller,"House 614, Bahria Town, Lahore",6785220,2021-05-09,20,Plot
52893-7861795-6,REGY-913730,Tara A. Davis,Mr. Tracy Smith DDS,"Plot 636, Model Town, Lahore",13701424,2021-03-21,5,House
36661-1527921-8,REGY-437171,A. Jones,David Kirby,"Kothi 65, Gulberg, Lahore",7785872,2020-03-01,20,Commercial
61812-3592955-9,REGY-347215,Denise A. Stafford,Mary Gilbert,"House 669, Bahria Town, Rawalpindi",6010618,2024-09-04,5,House
45542-7875117-5,REGY-211490,Nancy A. Allen,Brianna Brown,"Flat 428, DHA, Islamabad",20463197,2023-04-10,10,Commercial
84254-6992514-7,REGY-776593,Mark Walker,Frederick Huffman,"Kothi 19, Model Town, Karachi",11079314,2021-04-11,15,House
61213-7794326-4,REGY-773270,K. Wilson,Nicole Black,"House 445, Bahria Town, Rawalpindi",10874715,2023-02-20,5,Commercial
24881-2518137-7,REGY-527362,M. Arias,Brian Lee,"Flat 472, Bahria Town, Karachi",6181370,2023-08-02,5,Plot
11944-1867304-9,REGY-343724,Chaudhry Frederick Lopez,Michele Fisher,"Plot 657, Gulberg, Lahore",11941700,2022-03-07,15,Commercial
85086-7221723-9,REGY-349513,Samuel Anderson,Justin Wyatt,"Plot 150, Model Town, Islamabad",20774073,2025-11-18,15,Apartment
31209-9743595-3,REGY-164304,Alicia A. Diaz,Erica Knight,"House 112, Gulberg, Rawalpindi",11810292,2021-03-06,10,Plot
35865-6060264-3,REGY-414907,R. Fritz,Carrie Jones DDS,"House 999, Gulberg, Islamabad",3999571,2023-08-23,20,Apartment
16995-7507801-2,REGY-921718,Mr. Kimberly White,Jillian Roman,"Plot 656, Bahria Town, Rawalpindi",11602880,2021-10-08,5,House
90573-4290229-8,REGY-971711,Jordan A. Wiley,Laura Williams,"Plot 579, Bahria Town, Lahore",7718563,2023-05-08,20,Apartment
62395-9688794-3,REGY-338309,S. Perry,Lauren Wyatt,"Kothi 368, DHA, Karachi",3111920,2022-06-01,5,Apartment
42382-4231219-1,REGY-926253,Mr. Mario Hernandez,Bryan Roy,"House 684, Model Town, Lahore",8438242,2024-11-17,5,Commercial
61096-8645939-9,REGY-794051,Mr. Traci Frost,Alexandra Little,"Flat 665, Gulberg, Islamabad",10087842,2022-07-13,5,Apartment
86365-5181869-7,REGY-933512,Mr. Abigail Mckenzie MD,James Cantu,"Kothi 675, Model Town, Rawalpindi",7613761,2022-03-01,15,Commercial
76005-8354336-3,REGY-700907,G. Foster,Justin Reyes,"House 4, Johar Town, Rawalpindi",8874036,2025-06-26,20,Commercial
70984-4946855-8,REGY-485962,R. Wilkinson,Sarah Mccann,"Kothi 857, Bahria Town, Rawalpindi",40176633,2024-12-03,5,Plot
62473-2796438-2,REGY-358338,Robert A. Henry,Heather Smith,"Plot 368, Gulberg, Islamabad",23520985,2025-06-17,20,Plot
22021-8414978-9,REGY-652192,Chaudhry John Austin,David Sanchez,"House 42, Bahria Town, Lahore",6424131,2020-10-11,15,Plot
51120-9581239-2,REGY-750357,J. Jackson,Theodore Young,"House 771, Johar Town, Rawalpindi",4425105,2020-11-12,15,Apartment
95556-3284817-1,REGY-967981,Chaudhry David Smith,Daniel Cameron,"House 629, DHA, Karachi",10001434,2024-06-19,15,House
27251-9252208-5,REGY-844930,Mr. Emily Cox,Molly Zimmerman,"Plot 703, Bahria Town, Lahore",3957929,2025-09-22,5,Commercial
55992-5231562-3,REGY-841656,Chaudhry Daniel Cox,Bailey Logan,"Flat 919, Johar Town, Islamabad",24099499,2020-11-28,10,Plot
69821-3408743-5,REGY-581572,E. Barajas,Mrs. Mariah Price,"Kothi 214, Johar Town, Islamabad",2994272,2021-09-04,15,House
90722-9489388-4,REGY-486532,C. Williams,Brent Golden,"Flat 382, DHA, Karachi",6731183,2020-04-17,10,Plot
33867-7769027-3,REGY-622040,Mr. James Powell,Anna Jones DVM,"Flat 696, Model Town, Rawalpindi",10374184,2025-09-04,5,Apartment
32117-5434903-2,REGY-373135,Peter Ruiz,Gregory Navarro,"House 652, Model Town, Rawalpindi",18239949,2020-07-12,15,Apartment
82768-9748521-2,REGY-826463,Kristen A. Davis,Ryan Howard,"Flat 549, Gulberg, Islamabad",10754048,2021-04-10,5,Plot
44701-7303867-6,REGY-593624,Mike Valenzuela,Antonio Thomas,"Plot 369, Model Town, Lahore",10567420,2025-01-12,15,House
67970-4859553-3,REGY-468934,Katie Hayes,Matthew Fields,"House 304, Johar Town, Islamabad",9196380,2021-09-09,5,House
50641-6245376-1,REGY-444945,Mr. Christopher Frost,Kyle Maddox,"House 227, Bahria Town, Islamabad",14004530,2025-08-17,20,Apartment
90747-8251664-7,REGY-582837,Diane A. Morgan,Christopher Johnson,"Flat 918, DHA, Karachi",9409524,2020-02-10,5,House
74014-4812784-1,REGY-385026,Z. Curtis,Richard Richard,"House 56, DHA, Islamabad",13802575,2020-03-03,15,Plot
49811-2784469-9,REGY-322227,Chaudhry Timothy Smith,Cynthia Chang,"Flat 547, Bahria Town, Rawalpindi",5383810,2023-02-15,15,House
86492-6052542-3,REGY-351929,Chaudhry Jordan Dalton,Danny Weber,"Plot 376, Johar Town, Rawalpindi",10998916,2021-07-18,5,House
30791-3260708-1,REGY-581568,Chaudhry Amber Carter DDS,Courtney Hudson,"Plot 725, Bahria Town, Rawalpindi",4840495,2021-05-20,15,Commercial
22557-2068182-3,REGY-352458,Katherine Estrada,Jonathan Williams,"Flat 412, Model Town, Lahore",5574787,2025-05-24,10,Apartment
17357-6877607-8,REGY-785705,Mr. Angelica Melton,Monique Mcmillan,"Kothi 255, Bahria Town, Lahore",10255771,2020-02-13,10,Plot
